Desempenho,Acuracia,Similaridade,Especificidade,Proporção espacial x,Proporção espacial y
0.7399687312910573,0.8125,0.8074061938731719,0.6,0.8269230769230769,0.8149568552253116
0.6769199273037253,0.5625,0.8968312104826046,0.5714285714285714,0.8057692307692308,0.5867689357622243
0.7812252633775151,0.75,0.7936757901325451,0.8,0.7134615384615385,0.5771812080536913
0.5185810473748198,0.6875,0.8682431421244593,0.0,0.875,0.7363374880153404
0.65999538579243,0.5,0.8133194907106234,0.6666666666666667,0.1442307692307692,0.1169702780441035
0.8503138954110296,0.625,0.9259416862330891,1.0,0.8365384615384616,0.62320230105465
0.6852280966570398,0.6875,0.8681842899711196,0.5,0.4134615384615384,0.8676893576222435
0.5433329883083872,0.75,0.8799989649251616,0.0,0.8288461538461539,0.7392138063279002
0.5135036629760172,0.8125,0.7280109889280518,0.0,0.8634615384615385,0.4707574304889741
0.8853158406965713,0.875,0.7809475220897141,1.0,0.7346153846153847,0.6644295302013423
0.6986053136461975,0.6875,0.8368873695100211,0.5714285714285714,0.85,0.4592521572387344
0.7354367803245087,0.875,0.731310340973526,0.6,0.8692307692307693,0.4678811121764142
0.7510655650869436,0.6666666666666666,0.7228936649578003,0.8636363636363636,0.7788461538461539,0.837967401725791
0.5630190133195871,0.25,0.4390570399587614,1.0,0.4961538461538461,0.6836049856184084
0.8337943159795894,0.75,0.7513829479387685,1.0,0.8211538461538461,0.6538830297219559
0.5310404898120796,0.75,0.8431214694362388,0.0,0.8365384615384616,0.7555129434324065
0.5880085715672964,0.375,0.8890257147018888,0.5,0.7173076923076923,0.7900287631831256
0.6987478197524543,0.6875,0.742076792590696,0.6666666666666667,0.8192307692307692,0.7804410354745925
0.7012202604579211,0.6875,0.8161607813737631,0.6,0.8711538461538462,0.663470757430489
0.7240868490254804,0.75,0.8508319756478696,0.5714285714285714,0.8576923076923076,0.3020134228187919
0.5752962832168073,0.625,0.9008888496504218,0.1999999999999999,0.8480769230769231,0.7334611697027804
0.7402601962014611,0.5625,0.6582805886043833,1.0,0.8057692307692308,0.6797698945349953
0.6397637353372319,0.875,0.710957872678362,0.3333333333333333,0.8461538461538461,0.5896452540747843
0.8463272921181536,0.75,0.7889818763544607,1.0,0.823076923076923,0.4726749760306807
0.6682395517477243,0.3125,0.6922186552431729,1.0,0.5788461538461539,0.7142857142857143
0.5439111357756614,0.8125,0.8192334073269844,0.0,0.8480769230769231,0.4046021093000959
0.5157025287695628,0.5,0.7137742529753551,0.3333333333333333,0.8115384615384615,0.6088207094918504
0.8056998093298183,0.8125,0.8045994279894549,0.8,0.8576923076923076,0.8293384467881112
0.6048877261271922,0.625,0.7610917498101478,0.4285714285714286,0.8480769230769231,0.7430488974113135
0.6061525145600419,0.5625,0.8559575436801258,0.4,0.7807692307692308,0.4803451581975071
0.5185810473748198,0.6875,0.8682431421244593,0.0,0.903846153846154,0.7727708533077661
0.4383592793525029,0.3125,0.6692445047241755,0.3333333333333333,0.7365384615384616,0.6807286673058485
0.903736035742078,0.8125,0.8987081072262336,1.0,0.8192307692307692,0.6529242569511026
0.7136840883330539,0.8125,0.8285522649991612,0.5,0.8519230769230769,0.7420901246404602
0.8739495254397657,0.75,0.871848576319297,1.0,1.0903846153846153,0.6864813039309684
0.6217505003405467,0.8125,0.7194181676883064,0.3333333333333333,0.8653846153846154,0.4055608820709492
0.6935582562102057,0.6875,0.7931747686306172,0.6,0.8423076923076923,0.8168744007670182
0.6058765272461347,0.5625,0.8265581531669757,0.4285714285714286,0.8384615384615385,0.638542665388303
0.7963542523288033,0.875,0.7140627569864099,0.8,0.8711538461538462,0.5043144774688398
0.5134129334336027,0.6875,0.8527388003008082,0.0,0.6846153846153846,0.6318312559923298
0.6606674682611493,0.25,0.7320024047834479,1.0,0.676923076923077,0.2818791946308724
0.9294582402958526,0.9375,0.850874720887558,1.0,0.8211538461538461,0.6442953020134228
