Desempenho,Acuracia,Similaridade,Especificidade,Proporção espacial x,Proporção espacial y
0.403914341468027,0.375,0.8367430244040812,0.0,0.8461538461538461,0.8168744007670182
0.578177857413275,0.5625,0.8863192865255393,0.2857142857142857,0.8653846153846154,0.822627037392138
0.641414341468027,0.6875,0.8367430244040812,0.4,0.8788461538461538,0.8034515819750719
0.5006860064356764,0.625,0.8770580193070291,0.0,0.8788461538461538,0.909875359539789
0.6329824710836188,0.6875,0.8781140799175228,0.3333333333333333,0.7923076923076923,0.8849472674976031
0.9430786878169966,1.0,0.8292360634509895,1.0,0.8903846153846153,0.9463087248322148
0.4549140936503488,0.5625,0.8022422809510465,0.0,0.8865384615384615,0.9549376797698944
0.5190008890795806,0.8125,0.7445026672387419,0.0,0.8692307692307693,0.9156279961649088
0.4439958546581019,0.5625,0.7694875639743057,0.0,0.8673076923076923,0.9213806327900288
0.7879625617815846,0.5625,0.8013876853447538,1.0,0.8461538461538461,0.8168744007670182
0.6208192859501822,0.375,0.7731721435648321,0.7142857142857143,0.8653846153846154,0.822627037392138
0.7749859704614351,0.5,0.8249579113843054,1.0,0.8788461538461538,0.8034515819750719
0.7604310955390878,0.375,0.9062932866172634,1.0,0.8788461538461538,0.909875359539789
0.719228267306872,0.3125,0.8451848019206156,1.0,0.7923076923076923,0.8849472674976031
0.6869119524268862,0.25,0.8107358572806586,1.0,0.8903846153846153,0.9463087248322148
0.7186163844863396,0.375,0.7808491534590186,1.0,0.8865384615384615,0.9549376797698944
0.7097765917793794,0.375,0.754329775338138,1.0,0.8692307692307693,0.9156279961649088
0.5863983853916223,0.3125,0.7800284895082003,0.6666666666666667,0.8673076923076923,0.9213806327900288
0.7735825712615477,0.7222222222222222,0.8385254915624211,0.76,0.7865384615384615,0.4841802492809204
0.4689291973115629,0.625,0.6389304490775459,0.1428571428571429,0.8038461538461539,0.5819750719079578
0.5827953904458063,0.6875,0.860886171337419,0.1999999999999999,0.8076923076923077,0.4180249280920421
0.7458134618839707,0.375,0.862440385651912,1.0,0.9730769230769232,0.7430488974113135
0.6380326342883157,0.75,0.8307645695316135,0.3333333333333333,0.9076923076923076,0.5522531160115053
0.944397388655912,1.0,0.8331921659677362,1.0,0.9788461538461538,0.9789069990412272
0.7227416998937054,0.8125,0.8557250996811163,0.5,0.9788461538461538,0.9319271332694152
0.5488909851039887,0.875,0.7716729553119661,0.0,0.8384615384615385,0.5896452540747843
0.6312854104935351,0.75,0.8105228981472717,0.3333333333333333,0.9519230769230768,0.7996164908916586
0.8491764944906848,0.7222222222222222,0.8253072612498318,1.0,0.7865384615384615,0.4841802492809204
0.5114919792540242,0.3125,0.6505473663335013,0.5714285714285715,0.8038461538461539,0.5819750719079578
0.7676516895156554,0.5,0.8029550685469662,1.0,0.8076923076923077,0.4180249280920421
0.4909409173322649,0.625,0.8478227519967948,0.0,0.9730769230769232,0.7430488974113135
0.7157533407938333,0.375,0.7722600223814999,1.0,0.9076923076923076,0.5522531160115053
0.6787505874170813,0.25,0.7862517622512439,1.0,0.9788461538461538,0.9789069990412272
0.7013485724016775,0.3125,0.7915457172050325,1.0,0.9788461538461538,0.9319271332694152
0.7061254306041885,0.375,0.7433762918125657,1.0,0.8384615384615385,0.5896452540747843
0.7182478491949057,0.375,0.7797435475847171,1.0,0.9519230769230768,0.7996164908916586
0.7171292284482513,0.75,0.8013876853447538,0.6,0.8326923076923077,0.7929050814956855
0.4624265414358866,0.625,0.6194224814505167,0.1428571428571429,0.926923076923077,0.6567593480345159
0.4227140950242656,0.5625,0.7056422850727971,0.0,0.8134615384615385,0.9165867689357622
0.5351727844081222,0.75,0.8555183532243665,0.0,0.9807692307692308,1.000958772770853
0.6108194031967461,0.6875,0.8116248762569048,0.3333333333333333,0.9307692307692308,0.837967401725791
0.8870839207504146,0.875,0.7862517622512439,1.0,0.9826923076923076,0.75071907957814
0.6966978291170838,0.875,0.7150934873512511,0.5,0.9576923076923076,0.9520613614573348
0.5028634537249904,0.4375,0.5710903611749714,0.5,0.9903846153846154,0.887823585810163
0.5177992119302216,0.75,0.8033976357906649,0.0,0.8884615384615384,0.7603068072866731
0.768320706748625,0.5625,0.7424621202458749,1.0,0.8326923076923077,0.7929050814956855
0.3742035965125406,0.25,0.5868965038233361,0.2857142857142857,0.926923076923077,0.6567593480345159
0.6446191727213149,0.4375,0.6963575181639445,0.8,0.8134615384615385,0.9165867689357622
0.7532702394277786,0.375,0.8848107182833358,1.0,0.9807692307692308,1.000958772770853
0.7430282519518333,0.4375,0.7915847558554998,1.0,0.9307692307692308,0.837967401725791
