grupo,banda,canal,psd_mean,psd_std,psd_db_mean,psd_db_std
CF,total,C1,1.2886331391495753,2.152591830795087,-1.011176905508809,3.94646135058489
CF,total,C2,1.6113921365796382,3.9527691879633426,-0.7912098038537606,4.461760712090846
CF,total,C3,0.7962687244555997,1.6724630717348175,-3.2065153623330205,3.682971589652469
CF,total,C4,1.097111662605095,1.8763327242188836,-1.9036544315577,4.180788067430672
CF,total,CP1,1.2054191539124932,2.0279044419474257,-1.0652558044861524,3.6590226862640005
CF,total,CP2,3.21879729856835,4.707027766232696,2.050516877107978,5.209134642435304
CF,total,CP3,0.803777163460688,1.059849053008689,-2.2303321075727305,2.8913562772761887
CF,total,CP4,68.78909423803127,764.7721733871725,0.2614070154186403,6.166004488418096
CF,total,CPZ,1.5473943991411534,3.079295366469338,-0.7619082773271717,4.613570283228323
CF,total,CZ,1.476506651990776,2.8263824935111757,-0.5891674792375549,4.184418584985396
CF,total,F3,1.4898174935838502,1.8010592054915364,-0.38499840768722376,4.088088177391351
CF,total,F4,1.1958432378951016,1.6683734095852145,-0.837377663403385,3.4955702165521316
CF,total,F7,2.0942121722110656,3.2880521987132743,0.40547844152506196,5.014011820235275
CF,total,F8,1.8745759771095334,2.572214832388755,0.7766673096967915,3.753528895393633
CF,total,FC1,1.1838566607220018,1.9822294798357762,-0.9685097946531385,3.4177139325683847
CF,total,FC2,91.65123085288332,656.2925181381476,0.3545805750060464,6.719688576518843
CF,total,FC3,0.958430378073235,1.7628058577154686,-2.575662211901541,4.222278375571053
CF,total,FC4,1.1587806633065507,2.475524166407028,-2.474472298132416,4.627244169883757
CF,total,FCZ,1.21902532074874,2.0773729422461247,-0.9132498169204292,3.4727638805566
CF,total,FP1,1.7908716200657164,2.12739383292665,-4.391926175016968,13.57689457444458
CF,total,FP2,1.5199464738081305,1.5922062070958314,0.6523075707156467,3.012250825364008
CF,total,FZ,1.1842869976438823,1.9785534692906954,-1.012251295337099,3.5267088100871473
CF,total,O1,1.0738932986773133,0.8446572897015386,-0.5991965669823698,2.7543334854828894
CF,total,O2,1.5146451867998638,1.6597806238104729,0.3628903042318212,3.201687398541313
CF,total,OZ,0.889888380062089,0.764593859133352,-2.308657527667093,4.719869559215614
CF,total,P3,0.9265385764447717,1.0774994773293374,-1.4848179456925068,2.7188154022967144
CF,total,P4,1.1268446533892553,1.1931111998568487,-0.5451128134285524,2.735722669305617
CF,total,P7,1.1804135537094056,2.058135767865655,-1.0091124394397109,3.444513529263691
CF,total,P8,1.0108840295764656,0.9156957933514888,-0.6738666651164237,2.2543930029500623
CF,total,PZ,0.9495996474671613,0.7310267630083038,-0.8550528518141349,2.128392912687621
CF,total,T7,0.8745333173419273,0.8116367421724221,-1.5551231122868636,2.7147591167730343
CF,total,T8,1.5389228534945465,1.723890640102777,0.2745788871329593,3.5805355998206583
CF,delta,C1,1.5179271915403443,2.8634316348146487,-1.0908334903454093,4.50313148096153
CF,delta,C2,2.385742773839816,9.218503326776105,-0.832729860485063,5.099759699707323
CF,delta,C3,1.6721959920958234,7.8099543274319965,-2.2900454278816795,4.520616159478296
CF,delta,C4,1.7595486467959165,6.82589003788549,-2.0194484375027377,4.687373811175842
CF,delta,CP1,1.8896794688615728,5.771377195150108,-0.3187278540073386,4.047053353505612
CF,delta,CP2,6.024227887166717,12.953965841429813,2.964303063656103,6.303545873704977
CF,delta,CP3,1.2456193977051868,4.498724040510682,-1.736638395100398,3.5633988395205436
CF,delta,CP4,330.5737263036901,3740.389955297595,0.7878525194103757,7.403242769281492
CF,delta,CPZ,2.0642257354269433,6.6903499638520225,-0.7072309093513202,4.539132277283164
CF,delta,CZ,2.36183739717257,7.090116330356215,0.10745703786714776,4.701492595391897
CF,delta,F3,1.8498134677976383,5.217298408823449,-0.008790826650733434,3.7905274939248215
CF,delta,F4,2.084194963518692,6.552137121539545,0.3155667112894582,3.751602199643778
CF,delta,F7,3.1325267038241082,5.941956080255818,0.8983125520672156,6.12994292297368
CF,delta,F8,2.6176214710765113,4.831647477113471,0.832719287620365,5.092925112317886
CF,delta,FC1,2.094844951117865,6.760823805785056,-0.11711410745949222,4.165620394139385
CF,delta,FC2,185.934714309723,1166.7395561480434,0.043144699683986584,7.872783951307229
CF,delta,FC3,1.6895959383417507,7.169449997762405,-1.8955385876838697,4.399797849193278
CF,delta,FC4,1.6499670705714606,6.884357223063425,-2.186366478640427,4.627154754232773
CF,delta,FCZ,1.991538708042165,6.935039070511796,-0.47538618699756846,4.278238091367021
CF,delta,FP1,2.667014100071556,4.568671893146557,-3.8009571177597925,13.13531968001853
CF,delta,FP2,1.8822186857239642,3.437650310162445,0.827864808908932,3.5439788365252194
CF,delta,FZ,1.805731570895272,6.195907468513735,-0.8777133846097335,4.239850224041158
CF,delta,O1,1.508102768776408,2.1552506479600293,0.028448065438919597,3.5651873182218172
CF,delta,O2,1.7787374496061858,2.2183259737358223,0.0911338335333173,4.510419312972739
CF,delta,OZ,1.072646797984687,1.2062216178776952,-2.690237257729479,6.573031120780502
CF,delta,P3,1.4279630172924966,3.2992626385926482,-0.5071303949051885,3.246031917726538
CF,delta,P4,1.4472650752164433,3.507569887975418,-0.43131400052447283,3.2648900955389926
CF,delta,P7,1.9615830617433205,7.3040923719598245,-0.4012989478691349,3.8680644741918915
CF,delta,P8,1.5315645085423584,4.330228884859365,-0.9665779387698207,3.8564122187276806
CF,delta,PZ,1.403012789869269,2.7007229612039545,-0.6428491487685185,3.607346626358845
CF,delta,T7,1.3744843394163668,2.6759626977665363,-1.3344948794362663,4.301706546741955
CF,delta,T8,1.8083113232112544,2.5018986636088982,0.7093234442814932,3.608226797923742
CF,theta,C1,1.2631213524276155,2.530659727625429,-1.6888326272481484,4.549302020955529
CF,theta,C2,1.844910905898727,5.531722257382338,-1.2582689474543571,5.1767079537319844
CF,theta,C3,1.023465245507468,3.1628243177712387,-3.19140600595253,4.465617960962422
CF,theta,C4,1.209726209813318,3.1475758507737432,-2.882413614549221,4.981403522502706
CF,theta,CP1,1.4746044219110412,3.3647321975450235,-1.275598180013339,4.563578730101514
CF,theta,CP2,4.0512884057669085,5.689182190183502,1.7956599653518392,6.516507971745359
CF,theta,CP3,0.9091395238712511,1.8555874324917152,-2.642501470794884,3.9072768136476617
CF,theta,CP4,144.42849585707236,1623.3738284183407,-0.46532093208463104,7.4344271832781
CF,theta,CPZ,1.7855619428446996,4.707315494167959,-1.4667786611124638,5.659270768030445
CF,theta,CZ,1.518793483865225,3.134317972317626,-1.0020455423387926,4.791927957711357
CF,theta,F3,1.4187226381067166,2.3567944777909475,-0.874467351289144,4.3464467484029825
CF,theta,F4,1.245244874258578,2.720150296916774,-1.4491993494699067,4.102656665535301
CF,theta,F7,2.6667793975694396,5.180503927911329,0.4568707235335252,5.530402299443723
CF,theta,F8,2.0850719944513028,3.0777724915449762,0.6669144690178821,4.459615640940617
CF,theta,FC1,1.3202901394494928,2.8116855576400472,-1.1625949485334408,4.143455846205456
CF,theta,FC2,134.6673944065307,955.6183525158933,0.049935658197699274,7.682580037251509
CF,theta,FC3,1.1142711639340275,2.9186516850227435,-2.58905434379442,4.658775424856821
CF,theta,FC4,1.2225440568101138,3.1296405060039896,-2.778794172672655,4.953058754144179
CF,theta,FCZ,1.3775471038430938,2.6805321951861325,-0.9691179712178268,4.170375767225311
CF,theta,FP1,2.028236296580879,3.2050254176933,-5.008999135139618,14.84447350691272
CF,theta,FP2,1.6648165895446294,2.5159537800228837,0.33407707023984784,3.955748017841911
CF,theta,FZ,1.3528666393096649,2.9760497963345105,-1.1814073362417241,4.279335526150753
CF,theta,O1,1.1056924621375115,1.0947752119533383,-0.7333796496735793,3.044789124175911
CF,theta,O2,1.3712875523632975,1.341341355278087,-0.21662001071440753,3.5822995370990127
CF,theta,OZ,0.8562659772086112,0.7634230885172816,-2.7889297107337345,5.220771340025904
CF,theta,P3,1.0706072700553508,1.5333450513269689,-1.3847703238981994,3.465392081354565
CF,theta,P4,1.2558853148295672,1.9689645126540192,-0.9601520180515076,3.795589945879895
CF,theta,P7,1.3542026641737794,2.8398765511697794,-1.1115326861506585,4.349526547241937
CF,theta,P8,1.1616549766394813,1.6370709047271725,-1.192232065522393,3.967191907557727
CF,theta,PZ,1.0613108660721098,1.3938628499918677,-1.3048687953793618,3.508149864720201
CF,theta,T7,1.0212063551680783,1.5472786902616749,-1.8205718448074701,3.8898565632903757
CF,theta,T8,1.4778981642329116,1.6476279633745634,-0.052088669438243564,3.856064850897397
CF,alfa,C1,1.210742615267098,2.4992195609724233,-1.8828714089864704,4.572614467414121
CF,alfa,C2,1.6408380116237733,5.101542311395479,-1.2648658467346365,5.197385181217197
CF,alfa,C3,0.5599200649099669,0.8205997480873635,-4.467813651574734,3.9490251185157272
CF,alfa,C4,0.9381680400502389,1.2247159701689996,-2.4229171428130525,4.301324194620843
CF,alfa,CP1,0.8385463146764613,1.2064725848796722,-2.804999457243957,4.200546484863309
CF,alfa,CP2,2.818403022818798,3.7172602552765217,0.8621356030077622,5.976885159335705
CF,alfa,CP3,0.6025464417648061,0.7566460492581066,-3.8348214720331066,3.581297752672568
CF,alfa,CP4,10.69136439002521,105.34040142795276,-0.6225631690492677,5.353985747798861
CF,alfa,CPZ,1.233205928475128,2.232479981813773,-1.8962873839216694,5.122974937938045
CF,alfa,CZ,1.3431021325123933,3.2206351036075422,-1.5590517468032759,4.800681416720409
CF,alfa,F3,1.0506452831052486,1.2544698393130278,-1.4204390407248177,3.6052725098842666
CF,alfa,F4,0.9439975251260646,1.2224764632301774,-1.9937474786152212,3.841337455139434
CF,alfa,F7,1.607183088655148,2.2090273066309507,-0.3564465093563604,4.4905814985007195
CF,alfa,F8,1.5883152540049836,2.133975571671097,-0.18052489565503152,4.215210213833995
CF,alfa,FC1,0.9417724456400577,1.0791357226855047,-1.7881892573259004,3.652175229357344
CF,alfa,FC2,74.14045144846887,654.0812928026651,-0.06593423845514676,6.570444207369259
CF,alfa,FC3,0.7966684661744396,1.0302662766242827,-2.7798446711623255,3.8061031804950303
CF,alfa,FC4,0.9714994594341971,2.376815159950982,-3.2270956680097083,4.464689815490537
CF,alfa,FCZ,1.0152672633112736,1.5721140102611504,-1.6835483503747506,3.7549335205464547
CF,alfa,FP1,1.2557963641581649,1.7392058806599207,-5.90746241526856,13.730680954521398
CF,alfa,FP2,1.2867796141143024,1.5595406724562224,-0.47920906048426204,3.600648569519265
CF,alfa,FZ,0.998583103839479,1.1438101554398725,-1.5911361094766505,3.7461402637338153
CF,alfa,O1,1.0376171691313598,1.2330375550631616,-1.29615196789495,3.2280547623128606
CF,alfa,O2,1.4506174691597813,1.6324493767198152,-0.294282022566425,3.894594950493851
CF,alfa,OZ,0.8949833759911031,1.1885913006592672,-2.838451945341726,4.682115157887238
CF,alfa,P3,0.7768768444724726,1.1798370288340811,-2.8615518027599482,3.3886100233179746
CF,alfa,P4,1.0723188196953428,1.185420864892444,-1.2164555120038647,3.3880398219273333
CF,alfa,P7,0.9867500493711159,1.091087161011166,-1.6401002398593085,3.8120912552358073
CF,alfa,P8,0.9688738373478566,0.7918697286136872,-1.093499956293778,2.95630168399858
CF,alfa,PZ,0.9117839256365246,0.8868561266844114,-1.4792608201708104,2.8982263919035542
CF,alfa,T7,0.9710362228168238,0.9026479322709104,-1.1467058410788873,2.8508566418743335
CF,alfa,T8,1.2053637158666237,1.0655899743701303,-0.659054759281794,3.8329571836038747
CF,beta,C1,1.2655809433767675,2.5185022056809956,-1.0661369224863242,3.9068578214768492
CF,beta,C2,1.2356742262504876,2.3873914383645993,-0.9844659858638857,3.7953941021321094
CF,beta,C3,0.6382507081985832,0.7027599512897013,-3.1719722744808427,3.0852034054076363
CF,beta,C4,0.869918786652047,0.9108872617261022,-2.244991337589405,3.805451486720102
CF,beta,CP1,0.9872530300687842,1.2885923014036964,-1.315463404862643,3.1780135410807038
CF,beta,CP2,2.346294418381329,4.141080977428777,1.1901115575438694,4.525438374786933
CF,beta,CP3,0.7336210574893208,0.6654944304116208,-2.1443590700796453,2.4081550007209027
CF,beta,CP4,2.4989982477629384,13.324833889241598,-0.6715394637915905,4.38431553364438
CF,beta,CPZ,1.3136962675581432,2.312572465652229,-0.8538965140403129,4.168681429668973
CF,beta,CZ,1.117888695417969,1.8610395657543508,-1.3101867258773348,3.744261095786436
CF,beta,F3,1.5961811955749696,2.1877010250800986,-0.8492585145839563,4.678013227084101
CF,beta,F4,0.9362404210995096,0.84057026069541,-1.6258315327338841,3.461120074989125
CF,beta,F7,1.4675429279364662,2.0230825575767457,-0.27122626863116894,4.098274457426843
CF,beta,F8,1.4290230373737776,1.6715462227673012,0.1293655632296992,3.2441585281314347
CF,beta,FC1,0.8411411516225639,0.9684874814215693,-1.8042093779297292,2.9359110269367066
CF,beta,FC2,57.6781793756443,464.8787987126808,0.20435887984165926,5.991483385867917
CF,beta,FC3,0.7295821644008228,0.7917475071943838,-2.983928443935046,3.7813235344273193
CF,beta,FC4,0.984855437440837,2.1944271729399443,-2.8693153663147433,4.507138241518235
