ID,Complexidade,Desempenho,Acuracia,Similaridade,Especificidade,Proporção espacial x,Proporção espacial y
df_ID_08,3,0.8069329593301265,0.875,0.8315131637046653,0.7142857142857143,0.8461538461538461,0.8168744007670182
df_ID_08,1,0.8561751438956845,0.875,0.9435254316870533,0.75,0.8653846153846154,0.822627037392138
df_ID_08,2,0.916607424395241,0.875,0.8748222731857229,1.0,0.8788461538461538,0.8034515819750719
df_ID_08,3,0.4681306000727279,0.5,0.9043918002181836,0.0,0.8788461538461538,0.909875359539789
df_ID_08,2,0.8051898050140317,0.875,0.7905694150420949,0.75,0.7923076923076923,0.8849472674976031
df_ID_08,1,0.507263763751313,0.75,0.7717912912539392,0.0,0.8903846153846153,0.9463087248322147
df_ID_08,2,0.7564327485380117,0.75,0.8526315789473684,0.6666666666666667,0.8865384615384615,0.9549376797698945
df_ID_08,1,0.9441047683817619,0.9375,0.8948143051452858,1.0,0.8692307692307693,0.9156279961649089
df_ID_08,3,0.5282407407407407,0.5625,0.8222222222222222,0.19999999999999996,0.8673076923076923,0.9213806327900288
df_ID_08,3,0.817197725819447,0.6875,0.7640931774583412,1.0,0.8461538461538461,0.8168744007670182
df_ID_08,1,0.7814215668607876,0.4375,0.9067647005823629,1.0,0.8653846153846154,0.822627037392138
df_ID_08,2,0.7356604002243475,0.3125,0.8944812006730426,1.0,0.8788461538461538,0.8034515819750719
df_ID_08,3,0.7778197033349975,0.5,0.8334591100049927,1.0,0.8788461538461538,0.909875359539789
df_ID_08,2,0.7288837553699613,0.375,0.811651266109884,1.0,0.7923076923076923,0.8849472674976031
df_ID_08,1,0.6275341236913461,0.375,0.7576023710740383,0.75,0.8903846153846153,0.9463087248322147
df_ID_08,2,0.7633771929824561,0.4375,0.8526315789473684,1.0,0.8865384615384615,0.9549376797698945
df_ID_08,1,0.7127388371905613,0.25,0.888216511571684,1.0,0.8692307692307693,0.9156279961649089
df_ID_08,3,0.5671296296296297,0.3125,0.7888888888888889,0.6,0.8673076923076923,0.9213806327900288
df_ID_11,3,0.6888734760978455,0.6111111111111112,0.7888426505157586,0.6666666666666667,0.7865384615384615,0.4841802492809204
df_ID_11,1,0.6007514429914897,0.8125,0.7397543289744692,0.25,0.8038461538461539,0.5819750719079578
df_ID_11,2,0.7505181732486316,0.875,0.8765545197458949,0.5,0.8076923076923077,0.41802492809204217
df_ID_11,3,0.8251081634771248,0.5,0.9753244904313745,1.0,0.9730769230769231,0.7430488974113135
df_ID_11,2,0.6884521710279845,0.8125,0.7528565130839536,0.5,0.9076923076923077,0.5522531160115053
df_ID_11,1,0.5094954489964364,0.75,0.7784863469893094,0.0,0.9788461538461538,0.9789069990412272
df_ID_11,2,0.49605263157894736,0.625,0.8631578947368421,0.0,0.9788461538461538,0.9319271332694151
df_ID_11,1,0.971694063483993,1.0,0.915082190451979,1.0,0.8384615384615385,0.5896452540747843
df_ID_11,3,0.7728504632933216,0.875,0.8435513898799651,0.6,0.9519230769230769,0.7996164908916586
df_ID_11,3,0.8387863265431378,0.7777777777777778,0.7385812018516359,1.0,0.7865384615384615,0.4841802492809204
df_ID_11,1,0.7415524339508471,0.5,0.7246573018525413,1.0,0.8038461538461539,0.5819750719079578
df_ID_11,2,0.7595990146448596,0.3125,0.9662970439345786,1.0,0.8076923076923077,0.41802492809204217
df_ID_11,3,0.4917748301437915,0.5,0.9753244904313745,0.0,0.9730769230769231,0.7430488974113135
df_ID_11,2,0.6013732829031887,0.3125,0.7416198487095663,0.75,0.9076923076923077,0.5522531160115053
df_ID_11,1,0.6295993084493339,0.375,0.7637979253480017,0.75,0.9788461538461538,0.9789069990412272
df_ID_11,2,0.7320175438596491,0.375,0.8210526315789474,1.0,0.9788461538461538,0.9319271332694151
df_ID_11,1,0.7256769949526043,0.25,0.927030984857813,1.0,0.8384615384615385,0.5896452540747843
df_ID_11,3,0.6800603042324668,0.375,0.8651809126974002,0.8,0.9519230769230769,0.7996164908916586
df_ID_14,3,0.5041173050860007,0.5,0.7266376295437166,0.2857142857142857,0.8326923076923077,0.7929050814956855
df_ID_14,1,0.6075877041166429,0.8125,0.7602631123499285,0.25,0.926923076923077,0.6567593480345159
df_ID_14,2,0.5365291442850756,0.75,0.8595874328552265,0.0,0.8134615384615385,0.9165867689357622
df_ID_14,3,0.5133674012104771,0.625,0.9151022036314314,0.0,0.9807692307692307,1.0009587727708533
df_ID_14,2,0.6764742878019984,0.75,0.7794228634059948,0.5,0.9307692307692308,0.837967401725791
df_ID_14,1,0.5634519390471544,0.75,0.6903558171414631,0.25,0.9826923076923076,0.75071907957814
df_ID_14,2,0.4758285917040706,0.6875,0.7399857751122119,0.0,0.9576923076923077,0.9520613614573347
df_ID_14,1,0.7051102548706808,0.4375,0.6778307646120421,1.0,0.9903846153846154,0.887823585810163
df_ID_14,3,0.5928811732691218,0.75,0.8286435198073654,0.19999999999999996,0.8884615384615384,0.7603068072866731
df_ID_14,3,0.7797421779048225,0.6875,0.6517265337144674,1.0,0.8326923076923077,0.7929050814956855
df_ID_14,1,0.7989415270107424,0.6875,0.7093245810322272,1.0,0.926923076923077,0.6567593480345159
df_ID_14,2,0.5158783951474124,0.25,0.7976351854422372,0.5,0.8134615384615385,0.9165867689357622
df_ID_14,3,0.7945512708481575,0.5,0.8836538125444723,1.0,0.9807692307692307,1.0009587727708533
df_ID_14,2,0.618770113657842,0.375,0.731310340973526,0.75,0.9307692307692308,0.837967401725791
