,Número da Trajetória,Sorteio,Tempo 1,Tempo 2,ID,Fase,Score total,Score Parcial,Proporção espacial x,Proporção espacial y,Trajetória Completa,Trajetória Simplificada,Acuracia,Media Acuracia,Taxa de Falsos Positivos,Media FPR,Similaridade,Media Similaridade,Desempenho,Desempenho ponderado com proporção,Complexidade,nivel
27,1,9,737434.5362731366,737434.5365625,df_ID_08,Fase Execucao,0.3666666666666667,0.3048885119354918,0.8461538461538461,0.8168744007670182,"[2, 2, 2, 1, 3, 1, 3, 3, 1, 4, 4, 4]","[2, 1, 3, 1, 3, 1, 4]",0.6875,0.59375,0.0,0.25383597883597886,0.7640931774583412,0.8435594603731744,0.817197725819447,0.6795114506786161,4,Fácil
28,2,13,737434.5375367246,737434.5378260764,df_ID_08,Fase Execucao,0.26666666666666666,0.2250682203702338,0.8653846153846154,0.822627037392138,"[2, 2, 2, 3, 3, 3, 1, 1, 4, 1, 4]","[2, 3, 1, 4, 1, 4]",0.4375,0.59375,0.0,0.25383597883597886,0.9067647005823629,0.8435594603731744,0.7814215668607876,0.6595243552960391,4,Fácil
29,3,5,737434.5385175231,737434.538806875,df_ID_08,Fase Execucao,0.5,0.42057443395530647,0.8788461538461538,0.8034515819750719,"[2, 2, 3, 2, 3, 3, 1, 1, 4, 1, 4, 4]","[2, 3, 2, 3, 1, 4, 1, 4]",0.3125,0.59375,0.0,0.25383597883597886,0.8944812006730426,0.8435594603731744,0.7356604002243475,0.6187999128153784,4,Fácil
30,4,10,737434.5396083681,737434.5398977083,df_ID_08,Fase Execucao,0.2857142857142857,0.25553164476942036,0.8788461538461538,0.909875359539789,"[2, 2, 2, 3, 3, 3, 1, 1, 1, 4, 4, 4]","[2, 3, 1, 4]",0.5,0.59375,0.0,0.25383597883597886,0.8334591100049927,0.8435594603731744,0.7778197033349975,0.6956514184453909,6,Médio
31,5,7,737434.5407001968,737434.5409895487,df_ID_08,Fase Execucao,0.30952380952380953,0.2595751723508195,0.7923076923076923,0.8849472674976031,"[2, 1, 2, 2, 1, 3, 3, 3, 2, 2, 4, 4, 1, 1, 1, 4]","[2, 1, 2, 1, 3, 2, 4, 1, 4]",0.375,0.59375,0.0,0.25383597883597886,0.811651266109884,0.8435594603731744,0.7288837553699613,0.6112619469078886,6,Médio
32,6,17,737434.5419557523,737434.5422451042,df_ID_08,Fase Execucao,0.38095238095238093,0.3498463505174914,0.8903846153846153,0.9463087248322147,"[2, 2, 2, 3, 3, 3, 1, 4, 4, 3, 3, 1, 4, 4, 4, 5, 3, 3, 4, 4, 4]","[2, 3, 1, 4, 3, 1, 4, 5, 3, 4]",0.375,0.59375,0.25,0.25383597883597886,0.7576023710740383,0.8435594603731744,0.6275341236913461,0.5762938728713499,6,Médio
33,7,11,737434.5429568171,737434.543246169,df_ID_08,Fase Execucao,0.14814814814814814,0.13640564009691525,0.8865384615384615,0.9549376797698945,"[3, 2, 2, 2, 3, 3, 1, 1, 1, 4, 4, 2, 1, 4]","[3, 2, 3, 1, 4, 2, 1, 4]",0.4375,0.59375,0.0,0.25383597883597886,0.8526315789473684,0.8435594603731744,0.7633771929824561,0.7028704438480687,8,Difícil
34,8,12,737434.5439704513,737434.5442598033,df_ID_08,Fase Execucao,0.574074074074074,0.5123205715487593,0.8692307692307693,0.9156279961649089,"[3, 2, 3, 2, 3, 2, 4, 4, 4, 1, 3, 1, 3, 5, 4, 4, 4]","[3, 2, 3, 2, 3, 2, 4, 1, 3, 1, 3, 5, 4]",0.25,0.59375,0.0,0.25383597883597886,0.888216511571684,0.8435594603731744,0.7127388371905613,0.6360690804987483,8,Difícil
35,9,3,737434.544893912,737434.5451832638,df_ID_08,Fase Execucao,0.14814814814814814,0.13249543148872006,0.8673076923076923,0.9213806327900288,"[2, 2, 2, 3, 3, 3, 1, 1, 1, 4, 4, 4]","[2, 3, 1, 4]",0.3125,0.59375,0.4,0.25383597883597886,0.7888888888888889,0.8435594603731744,0.5671296296296297,0.5072090736677566,8,Difícil
36,1,6,737436.3835919328,737436.3860674421,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
37,2,3,737436.38657,737436.38801625,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
38,3,16,737436.3885175694,737436.3893699885,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
39,4,11,737436.3898713079,737436.3903790046,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
40,5,7,737436.3908802894,737436.392616412,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
41,6,17,737436.3931177199,737436.3940352199,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
42,7,14,737436.3945364468,737436.3949991204,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
43,8,8,737436.395500382,737436.3970244329,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
44,9,5,737436.3975257523,737436.3981236343,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
45,1,15,737436.3986249537,737436.3993907986,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
46,2,1,737436.3998920486,737436.4017279977,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
47,3,2,737436.4022292361,737436.4026018518,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
48,4,4,737436.4031031019,737436.4044052893,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
49,5,18,737436.4049066204,737436.4053611805,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
50,6,13,737436.4058624653,737436.4080073726,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
51,7,9,737436.4085086343,737436.4089753588,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
52,8,10,737436.4094766898,737436.4099965972,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
53,9,12,737436.4104978588,737436.4110790393,df_ID_11,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
54,1,6,737436.3861740972,737436.3864634491,df_ID_11,Fase Execucao,0.16666666666666669,0.10589322590161518,0.7865384615384615,0.4841802492809204,"[1, 1, 3, 1, 3, 3, 3, 3, 2, 4, 4, 4]","[1, 3, 1, 3, 2, 4]",0.6111111111111112,0.5910493827160495,0.3333333333333333,0.34351851851851856,0.7888426505157586,0.8365084814484115,0.6888734760978455,0.43768220773236033,4,Fácil
55,2,3,737436.3881222106,737436.3884115741,df_ID_11,Fase Execucao,0.8,0.5543284903016447,0.8038461538461539,0.5819750719079578,"[1, 3, 1, 1, 3, 2, 4, 4, 1, 3, 3, 4, 4, 3, 3, 3, 2, 2, 2, 4, 4, 4]","[1, 3, 1, 3, 2, 4, 1, 3, 4, 3, 2, 4]",0.8125,0.5910493827160495,0.75,0.34351851851851856,0.7397543289744692,0.8365084814484115,0.6007514429914897,0.4162670505500089,4,Fácil
56,3,16,737436.3894759953,737436.3897653588,df_ID_11,Fase Execucao,0.2,0.12257172357843499,0.8076923076923077,0.41802492809204217,"[1, 1, 2, 3, 1, 1, 3, 3, 2, 2, 4, 1, 2, 2, 4, 4]","[1, 2, 3, 1, 3, 2, 4, 1, 2, 4]",0.875,0.5910493827160495,0.5,0.34351851851851856,0.8765545197458949,0.8365084814484115,0.7505181732486316,0.4599615303601162,4,Fácil
57,4,11,737436.3904849768,737436.3907743287,df_ID_11,Fase Execucao,0.14285714285714285,0.12258041574915975,0.9730769230769231,0.7430488974113135,"[3, 3, 3, 2, 2, 2, 4, 4, 4, 1, 1, 1]","[3, 2, 4, 1]",0.5,0.5910493827160495,0.0,0.34351851851851856,0.9753244904313745,0.8365084814484115,0.8251081634771248,0.7079947120193614,6,Médio
58,5,7,737436.3927223727,737436.3930117361,df_ID_11,Fase Execucao,0.6666666666666665,0.4866484745679376,0.9076923076923077,0.5522531160115053,"[1, 1, 2, 3, 1, 1, 3, 3, 2, 2, 2, 4, 1, 2, 2, 4]","[1, 2, 3, 1, 3, 2, 4, 1, 2, 4]",0.8125,0.5910493827160495,0.5,0.34351851851851856,0.7528565130839536,0.8365084814484115,0.6884521710279845,0.5025512982656304,6,Médio
59,6,17,737436.394141169,737436.3944305208,df_ID_11,Fase Execucao,0.42857142857142855,0.41951853276158163,0.9788461538461538,0.9789069990412272,"[1, 1, 1, 3, 3, 3, 2, 4, 4, 2, 3, 3, 2, 4, 4, 4, 3, 3, 4, 4, 4]","[1, 3, 2, 4, 2, 3, 2, 4, 3, 4]",0.75,0.5910493827160495,1.0,0.34351851851851856,0.7784863469893094,0.8365084814484115,0.5094954489964364,0.4987331608272726,6,Médio
60,7,14,737436.3951051042,737436.395394456,df_ID_11,Fase Execucao,0.2777777777777778,0.2653851787660513,0.9788461538461538,0.9319271332694151,"[1, 1, 1, 3, 3, 3, 2, 2, 4, 1, 2, 2, 4, 4]","[1, 3, 2, 4, 1, 2, 4]",0.625,0.5910493827160495,1.0,0.34351851851851856,0.8631578947368421,0.8365084814484115,0.49605263157894736,0.47392205871221676,8,Difícil
61,8,8,737436.3971304282,737436.3974197685,df_ID_11,Fase Execucao,0.25925925925925924,0.18512495458804185,0.8384615384615385,0.5896452540747843,"[1, 1, 1, 3, 3, 3, 2, 4, 4, 2, 3, 3, 2, 4, 4, 4, 4, 4]","[1, 3, 2, 4, 2, 3, 2, 4]",1.0,0.5910493827160495,0.0,0.34351851851851856,0.915082190451979,0.8365084814484115,0.971694063483993,0.6938414461643557,8,Difícil
62,9,5,737436.3982296296,737436.3985189699,df_ID_11,Fase Execucao,0.35185185185185186,0.3081412202637035,0.9519230769230769,0.7996164908916586,"[1, 3, 1, 1, 3, 3, 2, 2, 4, 1, 2, 2, 4, 4]","[1, 3, 1, 3, 2, 4, 1, 2, 4]",0.875,0.5910493827160495,0.4,0.34351851851851856,0.8435513898799651,0.8365084814484115,0.7728504632933216,0.6768390832311013,8,Difícil
63,1,15,737436.3994967476,737436.3997860879,df_ID_11,Fase Execucao,0.3833333333333333,0.24355441957371485,0.7865384615384615,0.4841802492809204,"[2, 2, 3, 2, 3, 3, 3, 3, 1, 4, 4, 4]","[2, 3, 2, 3, 1, 4]",0.7777777777777778,0.5910493827160495,0.0,0.34351851851851856,0.7385812018516359,0.8365084814484115,0.8387863265431378,0.5329307397589106,4,Fácil
64,2,1,737436.4018339468,737436.4021232986,df_ID_11,Fase Execucao,0.30000000000000004,0.2078731838631168,0.8038461538461539,0.5819750719079578,"[2, 3, 2, 2, 3, 1, 4, 4, 2, 3, 3, 4, 4, 3, 3, 3, 1, 1, 1, 4, 4, 4]","[2, 3, 2, 3, 1, 4, 2, 3, 4, 3, 1, 4]",0.5,0.5910493827160495,0.0,0.34351851851851856,0.7246573018525413,0.8365084814484115,0.7415524339508471,0.513829551489354,4,Fácil
65,3,2,737436.402707801,737436.4029971644,df_ID_11,Fase Execucao,0.5,0.30642930894608744,0.8076923076923077,0.41802492809204217,"[2, 2, 1, 3, 2, 2, 3, 3, 1, 1, 4, 1, 4, 4]","[2, 1, 3, 2, 3, 1, 4, 1, 4]",0.3125,0.5910493827160495,0.0,0.34351851851851856,0.9662970439345786,0.8365084814484115,0.7595990146448596,0.46552680226750653,4,Fácil
66,4,4,737436.4045113195,737436.4048006713,df_ID_11,Fase Execucao,0.0,0.0,0.9730769230769231,0.7430488974113135,"[3, 3, 3, 1, 1, 1, 4, 4, 4, 2, 2, 2]","[3, 1, 4, 2]",0.5,0.5910493827160495,1.0,0.34351851851851856,0.9753244904313745,0.8365084814484115,0.4917748301437915,0.42197374193798864,6,Médio
67,5,18,737436.4054671759,737436.4057565278,df_ID_11,Fase Execucao,0.47619047619047616,0.3476060532628126,0.9076923076923077,0.5522531160115053,"[2, 2, 1, 3, 2, 2, 3, 3, 1, 1, 2, 1, 1, 4, 2, 4]","[2, 1, 3, 2, 3, 1, 2, 1, 4, 2, 4]",0.3125,0.5910493827160495,0.25,0.34351851851851856,0.7416198487095663,0.8365084814484115,0.6013732829031887,0.4389860861561244,6,Médio
68,6,13,737436.4081133218,737436.4084026737,df_ID_11,Fase Execucao,0.5476190476190476,0.5360514585286875,0.9788461538461538,0.9789069990412272,"[2, 2, 2, 3, 3, 3, 1, 4, 4, 1, 3, 3, 1, 4, 4, 4, 3, 3, 4, 4, 4]","[2, 3, 1, 4, 1, 3, 1, 4, 3, 4]",0.375,0.5910493827160495,0.25,0.34351851851851856,0.7637979253480017,0.8365084814484115,0.6295993084493339,0.6163000155861991,6,Médio
