grupo,banda,canal,psd_mean,psd_std,psd_db_mean,psd_db_std
all,total,C1,25.017700549247266,15.392358746487636,13.238663004277091,2.562289050352247
all,total,C2,24.7277655247827,28.494331258116805,12.556222465281706,3.0369186048034904
all,total,C3,18.890140196167213,10.872065484273557,12.253062840157845,2.0364080258154913
all,total,C4,31.9586053440116,79.46995790178266,12.645441146795925,3.6195776243774214
all,total,CP1,21.199588835867463,14.353856385873373,12.52553075026024,2.423387021160231
all,total,CP3,32.322716631255375,23.80131451314042,14.03908823625754,3.019573742821468
all,total,CPZ,62.25941125792729,105.22811535971482,14.82394976350924,4.465722452852702
all,total,CZ,121.07615289504386,939.2560854421071,13.442402959778123,4.721746618630669
all,total,F3,52.48773373675743,98.80731529415088,14.866062786471705,3.770738482202764
all,total,F4,25.621127877751764,13.044390383401183,13.627470452784204,1.9710472127707908
all,total,F7,36.136915505413626,18.28984050403296,15.144803290297395,1.8744538482220237
all,total,F8,35.91382492710525,14.25367544888539,15.298704684650911,1.4214029158633485
all,total,FC1,19.405177176432705,10.648136499199754,12.3472418733924,2.124346718630851
all,total,FC2,43.18707054884316,17.189546174108795,15.972304666958292,1.9267379204016593
all,total,FC3,24.67196854019068,24.1555521845511,12.58240802589638,3.19239949106246
all,total,FC4,62.04222893720196,170.03747874132202,14.263896327037859,4.653993288712047
all,total,FCZ,21.997888308421036,11.310092509320565,12.881103988808853,2.2199573554334924
all,total,FP1,22.64951670376537,12.581613166925832,12.864472632683075,2.5615919576152417
all,total,FP2,23.152302874984564,21.79888171768133,12.529727103994325,3.0102025265161503
all,total,FZ,21.96164422699717,12.120556349616352,12.867864076901643,2.1432367685471765
all,total,O1,97.64410170793866,113.15137794798603,18.524472090992408,3.0964713655553555
all,total,O2,119.09573180084499,189.8313102511979,19.140286408089487,3.2769221694177033
all,total,OZ,70.62187675017951,53.041538353881094,17.17472623273842,3.6373243468596734
all,total,P3,38.17015942578464,56.480447652663194,14.007490923033556,3.678164577889202
all,total,P4,38.89699853998946,24.994715821285915,14.868700695183495,3.149536982360242
all,total,P7,19.761534113617856,10.24834115162263,12.477842141218007,2.0336455772887914
all,total,P8,42.780820148296215,18.207834118523323,15.935580642890828,1.8468908087437608
all,total,PZ,45.707156430836335,25.97818981096407,16.107147649035213,2.0396327424594913
all,total,T7,53.72752660849945,31.32549374041808,16.86276860963197,1.7918974736354965
all,total,T8,33.957063602192065,17.766210650665677,14.685733309881483,2.390818371595645
all,delta,C1,7.66632113256702,8.184975185228039,6.882701616858588,4.1324143040987815
all,delta,C2,8.59652337333068,17.77751392229277,5.35201524195609,5.0943865475672405
