Desempenho,Acuracia,Acuracia,Similaridade,Similaridade,Especificidade,Proporção espacial x,Proporção espacial y,Desempenho_ponderado,Complexidade,Complexidade,grupo
0.5360551976666449,0.3125,0.6226851851851851,0.6956655929999346,0.8017302846841107,0.6,0.551923076923077,0.6375838926174496,0.3188206968414493,4,CF_FÃ¡cil,CF
0.6965458411097463,0.6666666666666666,0.6226851851851851,0.7563041899959053,0.8017302846841107,0.6666666666666667,0.7653846153846153,0.7315436241610739,0.5213395698476418,4,CF_FÃ¡cil,CF
0.6576927734624624,0.8125,0.6226851851851851,0.7605783203873873,0.8017302846841107,0.4,1.0,0.7344199424736337,0.5703577311570442,4,CF_FÃ¡cil,CF
0.5065167647792812,0.6875,0.6226851851851851,0.8320502943378437,0.8017302846841107,0.0,0.6884615384615385,0.7516778523489933,0.3647273725322777,6,CF_MÃ©dio,CF
0.5418995164934265,0.6875,0.6226851851851851,0.9381985494802796,0.8017302846841107,0.0,0.8269230769230769,0.7622243528283796,0.4305791119095428,6,CF_MÃ©dio,CF
0.7813300704326703,0.5625,0.6226851851851851,0.781490211298011,0.8017302846841107,1.0,0.903846153846154,0.8331735378715245,0.6785928590363545,6,CF_MÃ©dio,CF
0.4867970693332641,0.625,0.6226851851851851,0.8353912079997924,0.8017302846841107,0.0,0.9403846153846154,0.8581016299137104,0.4377489167237055,8,CF_DifÃ­cil,CF
0.5163500810898776,0.75,0.6226851851851851,0.7990502432696326,0.8017302846841107,0.0,0.8903846153846153,0.800575263662512,0.4365636353328569,8,CF_DifÃ­cil,CF
0.4389479841294032,0.5,0.6226851851851851,0.8168439523882095,0.8017302846841107,0.0,0.6653846153846154,0.6001917545541706,0.277761098173219,8,CF_DifÃ­cil,CF
0.7186575923004209,0.375,0.6512345679012346,0.7809727769012628,0.8372073539754319,1.0,0.6365384615384615,0.5033557046979866,0.4095967984923908,4,CF_FÃ¡cil,CF
0.7422497713626618,0.6666666666666666,0.6512345679012346,0.8193419066805777,0.8372073539754319,0.7407407407407407,0.9019230769230768,0.7833173537871524,0.6254346621928907,4,CF_FÃ¡cil,CF
0.6374706558216474,0.625,0.6512345679012346,0.8874119674649423,0.8372073539754319,0.4,0.8211538461538461,0.8744007670182167,0.5404331556201073,4,CF_FÃ¡cil,CF
0.5103120650688725,0.6875,0.6512345679012346,0.8434361952066176,0.8372073539754319,0.0,0.9096153846153846,0.7727708533077661,0.4292709976590072,6,CF_MÃ©dio,CF
0.5377638327179146,0.6875,0.6512345679012346,0.9257914981537436,0.8372073539754319,0.0,0.7423076923076923,0.7718120805369127,0.4071194261194465,6,CF_MÃ©dio,CF
0.822996737099337,0.6875,0.6512345679012346,0.781490211298011,0.8372073539754319,1.0,0.8115384615384615,0.8744007670182167,0.6937612420249598,6,CF_MÃ©dio,CF
0.4867970693332641,0.625,0.6512345679012346,0.8353912079997924,0.8372073539754319,0.0,0.9134615384615384,0.7986577181208053,0.4167273182266659,8,CF_DifÃ­cil,CF
0.7004773528701765,0.8125,0.6512345679012346,0.7889320586105297,0.8372073539754319,0.5,0.8730769230769231,0.7976989453499521,0.585170328777514,8,CF_DifÃ­cil,CF
0.7830505011866756,0.6944444444444444,0.6512345679012346,0.8720983634634086,0.8372073539754319,0.782608695652174,0.8269230769230769,0.75071907957814,0.6176867406707528,8,CF_DifÃ­cil,CF
0.4197433722178353,0.4375,0.63718820861678,0.821730116653506,0.8086147299751129,0.0,0.9730769230769232,0.7430488974113135,0.360166219520916,4,CF_FÃ¡cil,CF
0.7440951729403734,0.7346938775510204,0.63718820861678,0.7225916412701,0.8086147299751129,0.775,0.8884615384615384,0.7976989453499521,0.6273319384034673,4,CF_FÃ¡cil,CF
0.6655897321957776,0.75,0.63718820861678,0.8467691965873326,0.8086147299751129,0.4,0.9346153846153846,0.785234899328859,0.5723573449536405,4,CF_FÃ¡cil,CF
0.4856834314459479,0.625,0.63718820861678,0.8320502943378437,0.8086147299751129,0.0,0.9384615384615383,0.788111217641419,0.419283890412586,6,CF_MÃ©dio,CF
