Trajectory,Repetition,Y_Position,X_Position
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2138,751
1,1,2137,717
1,1,2138,710
1,1,2141,702
1,1,2144,694
1,1,2148,686
1,1,2151,679
1,1,2152,671
1,1,2152,660
1,1,2153,647
1,1,2153,637
1,1,2155,627
1,1,2155,618
1,1,2156,610
1,1,2157,600
1,1,2158,593
1,1,2159,586
1,1,2160,581
1,1,2162,574
1,1,2163,568
1,1,2164,559
1,1,2166,549
1,1,2167,539
1,1,2169,531
1,1,2171,525
1,1,2173,515
1,1,2175,503
1,1,2177,495
1,1,2177,484
1,1,2177,475
1,1,2177,466
1,1,2175,455
1,1,2174,442
1,1,2173,430
1,1,2173,421
1,1,2174,412
1,1,2175,405
1,1,2177,398
1,1,2179,392
1,1,2181,389
1,1,2184,387
1,1,2193,383
1,1,2200,381
1,1,2207,379
1,1,2213,378
1,1,2220,377
1,1,2226,377
1,1,2229,377
1,1,2236,376
1,1,2243,375
1,1,2247,375
1,1,2259,375
1,1,2271,375
1,1,2284,375
1,1,2299,375
1,1,2318,373
1,1,2335,373
1,1,2356,373
1,1,2374,373
1,1,2393,372
1,1,2413,372
1,1,2440,371
1,1,2466,370
1,1,2489,369
1,1,2509,368
1,1,2527,367
1,1,2549,367
1,1,2570,366
1,1,2596,366
1,1,2624,366
1,1,2643,366
1,1,2668,366
1,1,2691,366
1,1,2712,367
1,1,2733,368
1,1,2751,369
1,1,2769,370
1,1,2786,371
1,1,2803,372
1,1,2811,374
1,1,2816,375
1,1,2821,378
1,1,2827,380
1,1,2833,384
1,1,2839,389
1,1,2842,393
1,1,2845,398
1,1,2847,402
1,1,2850,408
1,1,2854,413
1,1,2857,419
1,1,2860,423
1,1,2862,428
1,1,2863,431
1,1,2865,433
1,1,2866,437
1,1,2867,439
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
1,1,2868,441
