,Score Parcial,Score Total,Acurácia,Precisão,Recall,Taxa de Falsos Positivos,Similaridade
0,0.1794871794871795,0.14734819903895793,0.8125,0.8333333333333334,0.9090909090909091,0.4,0.8074061938731719
1,0.1111111111111111,0.07736323147396973,0.5625,0.625,0.5555555555555556,0.42857142857142855,0.8968312104826046
2,0.13636363636363635,0.08799836908058384,0.75,0.8888888888888888,0.7272727272727273,0.2,0.7936757901325451
3,0.02857142857142857,0.023019106971647718,0.6875,0.8461538461538461,0.7857142857142857,1.0,0.8682431421244593
4,0.03333333333333333,0.004353350787914546,0.5,0.8571428571428571,0.46153846153846156,0.3333333333333333,0.8133194907106234
5,0.225,0.16422083579172506,0.625,1.0,0.625,0.0,0.9259416862330891
6,0.03676470588235294,0.023550567942716583,0.6875,0.9090909090909091,0.7142857142857143,0.5,0.8681842899711196
7,0.14285714285714285,0.11200428286957528,0.75,0.8571428571428571,0.8571428571428571,1.0,0.8799989649251616
8,0.04093567251461988,0.02730857538787599,0.8125,0.8125,1.0,1.0,0.7280109889280518
9,0.20512820512820512,0.14349178613504893,0.875,1.0,0.8181818181818182,0.0,0.7809475220897141
10,0.045454545454545456,0.02975573084633487,0.6875,0.7,0.7777777777777778,0.42857142857142855,0.8368873695100211
11,0.03676470588235294,0.024579262525867347,0.875,0.8461538461538461,1.0,0.4,0.731310340973526
12,0.023391812865497075,0.018910100065168946,0.6666666666666666,0.625,0.35714285714285715,0.13636363636363635,0.7228936649578003
13,0.0,0.0,0.25,1.0,0.07692307692307693,0.0,0.4390570399587614
14,0.1,0.0737518437937901,0.75,1.0,0.75,0.0,0.7513829479387685
15,0.058823529411764705,0.04682504132267259,0.75,0.8571428571428571,0.8571428571428571,1.0,0.8431214694362388
16,0.008333333333333333,0.006280568564545074,0.375,0.8333333333333334,0.35714285714285715,0.5,0.8890257147018888
17,0.013071895424836602,0.010455371272584064,0.6875,0.9,0.6923076923076923,0.3333333333333333,0.742076792590696
18,0.15151515151515152,0.11625943966547994,0.6875,0.8,0.7272727272727273,0.4,0.8161607813737631
19,0.09090909090909091,0.05271389684141362,0.75,0.7272727272727273,0.8888888888888888,0.42857142857142855,0.8508319756478696
20,0.15384615384615385,0.12165677636766951,0.625,0.6923076923076923,0.8181818181818182,0.8,0.9008888496504218
21,0.004761904761904762,0.0035369979173910148,0.5625,1.0,0.5,0.0,0.6582805886043833
22,0.031578947368421054,0.022670512108873116,0.875,0.8666666666666667,1.0,0.6666666666666666,0.710957872678362
23,0.19883040935672514,0.12881744026215944,0.75,1.0,0.75,0.0,0.7889818763544607
24,0.010526315789473684,0.006805957200694043,0.3125,1.0,0.21428571428571427,0.0,0.6922186552431729
25,0.014705882352941176,0.009210875238066315,0.8125,0.8666666666666667,0.9285714285714286,1.0,0.8192334073269844
26,0.005847953216374269,0.004153096991316702,0.5,0.7777777777777778,0.5384615384615384,0.6666666666666666,0.7137742529753551
27,0.12727272727272726,0.10735650255784482,0.8125,0.9,0.8181818181818182,0.2,0.8045994279894549
28,0.030303030303030304,0.024107966977094494,0.625,0.6363636363636364,0.7777777777777778,0.5714285714285714,0.7610917498101478
29,0.16363636363636364,0.10318208637000584,0.5625,0.7,0.6363636363636364,0.6,0.8559575436801258
30,0.02857142857142857,0.023951671530770283,0.6875,0.8461538461538461,0.7857142857142857,1.0,0.8682431421244593
31,0.02666666666666667,0.018896895051257467,0.3125,0.6666666666666666,0.3076923076923077,0.6666666666666666,0.6692445047241755
32,0.13333333333333333,0.09814366841212478,0.8125,1.0,0.8125,0.0,0.8987081072262336
33,0.008333333333333333,0.0066417216731814045,0.8125,0.9230769230769231,0.8571428571428571,0.5,0.8285522649991612
34,0.051470588235294115,0.04572816704120987,0.75,1.0,0.7142857142857143,0.0,0.871848576319297
35,0.06432748538011696,0.040878363953249154,0.8125,0.8571428571428571,0.9230769230769231,0.6666666666666666,0.7194181676883064
36,0.06060606060606061,0.0502782452446882,0.6875,0.8,0.7272727272727273,0.4,0.7931747686306172
37,0.044444444444444446,0.03282231564110759,0.5625,0.6,0.6666666666666666,0.5714285714285714,0.8265581531669757
38,0.08333333333333333,0.057311180150945246,0.875,0.9090909090909091,0.9090909090909091,0.2,0.7140627569864099
39,0.031578947368421054,0.02078599958854286,0.6875,0.8461538461538461,0.7857142857142857,1.0,0.8527388003008082
40,0.013071895424836602,0.0062666815134245065,0.25,1.0,0.07692307692307693,0.0,0.7320024047834479
41,0.08496732026143791,0.06225764354958986,0.9375,1.0,0.9375,0.0,0.850874720887558
42,0.022058823529411766,0.017929810024164543,0.6875,0.9090909090909091,0.7142857142857143,0.5,0.8042853971072706
