,Score Parcial,Score Total,Acurácia,Precisão,Recall,Taxa de Falsos Positivos,Similaridade
180,0.12087912087912088,0.10028224228017724,0.5625,0.7,0.6363636363636364,0.6,0.761386987626881
181,0.0196078431372549,0.01675647027009048,0.6111111111111112,0.35294117647058826,0.6666666666666666,0.4074074074074074,0.6701662532667129
182,0.014705882352941176,0.010775564743192063,0.75,0.7692307692307693,0.9090909090909091,0.6,0.76
183,0.0380952380952381,0.03173288520364264,0.625,0.8333333333333334,0.7142857142857143,1.0,0.8744746321952062
184,0.4105263157894737,0.3693518191451784,1.0,1.0,1.0,0.0,0.7628322344561482
185,0.023809523809523808,0.02117098904610889,0.625,1.0,0.625,0.0,0.7344124877258417
186,0.0380952380952381,0.0326271076319015,0.5625,0.8181818181818182,0.6428571428571429,1.0,0.9063269671749657
187,0.075,0.06686548141455859,0.75,0.8571428571428571,0.8571428571428571,1.0,0.8003103872421938
188,0.17142857142857143,0.15333605512416634,0.84,0.8,0.9230769230769231,0.25,0.7807983207583857
189,0.05228758169934641,0.030746092964805957,0.72,0.6428571428571429,0.8181818181818182,0.35714285714285715,0.7382518694760007
190,0.02857142857142857,0.021712700051626226,0.5625,0.5714285714285714,0.8888888888888888,0.8571428571428571,0.7815390739430262
191,0.041666666666666664,0.02768898118101138,0.875,0.8461538461538461,1.0,0.4,0.7402332101976052
192,0.05714285714285714,0.04272091283596557,0.625,0.8333333333333334,0.7142857142857143,1.0,0.8838834764831844
193,0.09956709956709957,0.06834994264284772,0.88,0.8571428571428571,0.9230769230769231,0.16666666666666666,0.7604691006293736
194,0.013071895424836602,0.010052616813374809,0.875,1.0,0.875,0.0,0.7814236239386015
195,0.01904761904761905,0.013982102908277406,0.8125,0.9230769230769231,0.8571428571428571,0.5,0.8343058507453917
196,0.009523809523809525,0.007430006075739537,0.52,0.5714285714285714,0.5714285714285714,0.5454545454545454,0.7894840920675568
197,0.016666666666666666,0.011013932935073875,0.7755102040816326,0.5625,0.6923076923076923,0.19444444444444445,0.825526651825102
198,0.03333333333333333,0.022025837696978634,0.75,0.7692307692307693,0.9090909090909091,0.6,0.7474093186836597
199,0.041666666666666664,0.030326989146200554,0.76,0.6153846153846154,0.8888888888888888,0.3125,0.6841170910977037
200,0.041666666666666664,0.026051077697470316,0.6875,0.75,0.8181818181818182,0.6,0.7681706886470947
201,0.01904761904761905,0.013397918795809496,0.7777777777777778,0.7142857142857143,0.7142857142857143,0.18181818181818182,0.8485666220435755
202,0.07602339181286549,0.0476657948001996,0.8571428571428571,0.7142857142857143,0.7692307692307693,0.1111111111111111,0.7145991037213356
203,0.014285714285714285,0.01036987820425021,0.72,0.9090909090909091,0.625,0.1111111111111111,0.7863695938229543
204,0.02857142857142857,0.021054939786962795,0.625,0.8333333333333334,0.7142857142857143,1.0,0.8365507441279434
205,0.0,0.0,0.6666666666666666,0.5833333333333334,0.5,0.22727272727272727,0.7530977603847103
206,0.008333333333333333,0.005521171362194852,0.8055555555555556,0.6875,0.8461538461538461,0.21739130434782608,0.8182235610872907
207,0.06666666666666667,0.041874769525776234,0.875,0.8461538461538461,1.0,0.4,0.7174911692708499
208,0.013071895424836602,0.010556502759424198,0.625,0.6,1.0,0.8571428571428571,0.7411990403144051
209,0.04411764705882353,0.025996801017774174,0.76,0.6923076923076923,0.8181818181818182,0.2857142857142857,0.7838155925451363
210,0.02857142857142857,0.02206065027972986,0.5625,0.8181818181818182,0.6428571428571429,1.0,0.8660254037844387
211,0.06315789473684211,0.0417800955667434,0.6875,0.9,0.6923076923076923,0.3333333333333333,0.7785755077872157
212,0.009523809523809525,0.007874000400366652,0.6875,1.0,0.6875,0.0,0.7745385337963969
213,0.0380952380952381,0.028860535437716647,0.5625,0.8181818181818182,0.6428571428571429,1.0,0.8669214468630108
214,0.008333333333333333,0.005824160459227573,0.48,0.5333333333333333,0.5714285714285714,0.6363636363636364,0.7648146665807475
215,0.009523809523809525,0.00702216766933929,0.8125,0.9166666666666666,0.8461538461538461,0.3333333333333333,0.8310327217476967
216,0.1895424836601307,0.14129225601787782,0.84,0.7333333333333333,1.0,0.2857142857142857,0.7382518694760007
217,0.02857142857142857,0.02491147155816379,0.5625,0.5714285714285714,0.8888888888888888,0.8571428571428571,0.7630253807827609
218,0.016666666666666666,0.014626923691521007,0.75,0.7692307692307693,0.9090909090909091,0.6,0.7482227463172373
219,0.06535947712418301,0.06222261749304782,0.75,0.8571428571428571,0.8571428571428571,1.0,0.8824775849037737
220,0.23809523809523808,0.21468410544393285,0.92,0.8666666666666667,1.0,0.16666666666666666,0.7134803296482928
221,0.1111111111111111,0.0951165072809368,0.6875,1.0,0.6875,0.0,0.8147015986084701
222,0.0380952380952381,0.03197050632333471,0.7222222222222222,0.6666666666666666,0.5714285714285714,0.18181818181818182,0.8543211199009229
223,0.08571428571428572,0.07004467248954305,0.75,0.8571428571428571,0.8571428571428571,1.0,0.8444575295832093
224,0.15833333333333333,0.13005937784251542,0.8333333333333334,0.7333333333333333,0.8461538461538461,0.17391304347826086,0.8781967366124297
225,0.14166666666666666,0.13541004437397053,0.5625,0.6428571428571429,0.8181818181818182,1.0,0.766938357656236
226,0.016666666666666666,0.013333317968385081,0.68,0.5333333333333333,0.8888888888888888,0.4375,0.7343418693075583
227,0.016666666666666666,0.013915972171005727,0.6875,0.7142857142857143,0.9090909090909091,0.8,0.7693804707196773
228,0.09523809523809523,0.08901994458082665,0.8125,0.8666666666666667,0.9285714285714286,1.0,0.8682431421244593
229,0.38596491228070173,0.3273909153368708,0.8571428571428571,0.6666666666666666,0.9230769230769231,0.16666666666666666,0.7576216859121756
230,0.05714285714285714,0.05418167163612993,0.5625,1.0,0.5625,0.0,0.781490211298011
231,0.02857142857142857,0.02316921812607335,0.56,0.6363636363636364,0.5,0.36363636363636365,0.8723699970566995
232,0.08571428571428572,0.07143510372657065,0.75,0.8571428571428571,0.8571428571428571,1.0,0.8444575295832093
233,0.15,0.12990075779924773,0.8055555555555556,0.6875,0.8461538461538461,0.21739130434782608,0.815861662355108
234,0.14166666666666666,0.11887621536740664,0.5625,0.6428571428571429,0.8181818181818182,1.0,0.766938357656236
235,0.0196078431372549,0.01772540198319906,0.5625,0.5714285714285714,0.8888888888888888,0.8571428571428571,0.6375375215883077
