,Score Parcial,Score Total,Acurácia,Precisão,Recall,Taxa de Falsos Positivos,Similaridade
62,0.08571428571428572,0.0695525375870534,0.8125,0.9166666666666666,0.8461538461538461,0.3333333333333333,0.8490330634652238
63,0.17582417582417584,0.12148404733403628,0.8125,1.0,0.7272727272727273,0.0,0.8077410799098391
64,0.26666666666666666,0.16209454974555645,0.6875,0.7,0.7777777777777778,0.42857142857142855,0.8510644963469901
65,0.10256410256410256,0.07422726129489164,0.8125,0.9,0.8181818181818182,0.2,0.8401388774085707
66,0.014705882352941176,0.010457795017852262,0.75,0.7777777777777778,0.5,0.09090909090909091,0.8661795968603128
67,0.041666666666666664,0.025905610049905353,0.6875,0.9,0.6923076923076923,0.3333333333333333,0.8129756650809232
68,0.047619047619047616,0.034459101141747356,0.625,1.0,0.625,0.0,0.6960909740235914
69,0.16483516483516483,0.09846056388482083,0.625,0.8333333333333334,0.7142857142857143,1.0,0.8592159717313064
70,0.0784313725490196,0.04398626771307387,0.625,0.9,0.6428571428571429,0.5,0.8309489698388166
71,0.15,0.11351238107530054,0.8125,0.9166666666666666,0.8461538461538461,0.3333333333333333,0.8192181767103508
72,0.2,0.15046316100007376,0.64,0.625,0.45454545454545453,0.21428571428571427,0.8510473601365569
73,0.5833333333333334,0.3532126570297711,0.875,0.8888888888888888,0.8888888888888888,0.14285714285714285,0.8947368421052632
74,0.02197802197802198,0.006963077117587037,0.5,1.0,0.2727272727272727,0.0,0.7079098555864042
75,0.004761904761904762,0.0030195152402726706,0.5625,1.0,0.5,0.0,0.6582805886043833
76,0.07692307692307693,0.054669478688580395,0.8125,0.9166666666666666,0.8461538461538461,0.3333333333333333,0.8909030059424665
77,0.08187134502923976,0.05537516567188061,0.625,1.0,0.625,0.0,0.8218561212025632
78,0.0196078431372549,0.013575998287802472,0.625,0.9,0.6428571428571429,0.5,0.7882745788075389
79,0.20952380952380953,0.13123477992126123,0.625,0.8333333333333334,0.7142857142857143,1.0,0.8581366251553131
80,0.0761904761904762,0.04665325087185107,0.5625,0.8,0.6153846153846154,0.6666666666666666,0.7612020568998559
81,0.16666666666666666,0.0952410145782629,0.8611111111111112,0.75,0.8181818181818182,0.12,0.756687868683148
82,0.02197802197802198,0.009761571123028459,0.4375,0.5,0.6666666666666666,0.8571428571428571,0.7720605272874866
83,0.05128205128205128,0.025976737941115845,0.8367346938775511,0.6153846153846154,0.7272727272727273,0.13157894736842105,0.797681127219951
84,0.12087912087912088,0.03594936942252378,0.625,0.9,0.6428571428571429,0.5,0.8914824582191182
85,0.3523809523809524,0.1985907971861951,0.5625,0.75,0.6923076923076923,1.0,0.902427138521816
86,0.07602339181286549,0.03460034313972851,0.6875,1.0,0.6875,0.0,0.805418998778512
87,0.06593406593406594,0.03242173601897771,0.6875,0.8461538461538461,0.7857142857142857,1.0,0.8446530265013354
88,0.1,0.09414761413083561,0.6875,0.9090909090909091,0.7142857142857143,0.5,0.8607916009117553
89,0.005263157894736842,0.0030853026344902007,0.5,0.8571428571428571,0.46153846153846156,0.3333333333333333,0.6390096504226938
90,0.03636363636363636,0.02016560620587466,0.6875,0.8,0.7272727272727273,0.4,0.8308504678941933
91,0.06060606060606061,0.029533777184783894,0.75,0.7272727272727273,0.8888888888888888,0.42857142857142855,0.832377037053889
92,0.10909090909090909,0.07791765281698167,0.7777777777777778,0.6666666666666666,0.5454545454545454,0.12,0.8113070800148313
