737434.522096528,737434.523704375,737434.52381103,737434.524100382
737434.524206667,737434.525013576,737434.525119653,737434.525409005
737434.525515058,737434.52669037,737434.526796458,737434.527085822
737434.527191875,737434.528056516,737434.528162546,737434.528451898
737434.528557905,737434.529533171,737434.529639178,737434.52992853
737434.530034537,737434.530973275,737434.531079271,737434.531368634
737434.531474699,737434.532356192,737434.532462199,737434.532751551
737434.532857581,737434.533934896,737434.534040903,737434.534330255
737434.534436401,737434.534875127,737434.534981111,737434.535270475
737434.535376458,737434.536167141,737434.536273137,737434.5365625
737434.536668553,737434.537430729,737434.537536725,737434.537826076
737434.537932083,737434.538411482,737434.538517523,737434.538806875
737434.53891294,737434.539502326,737434.539608368,737434.539897708
737434.540003738,737434.540594132,737434.540700197,737434.540989549
737434.541095556,737434.541849711,737434.541955752,737434.542245104
737434.542351134,737434.542850822,737434.542956817,737434.543246169
737434.543352164,737434.54386441,737434.543970451,737434.544259803
737434.54436581,737434.544787882,737434.544893912,737434.545183264
