Desempenho,Acuracia,Similaridade,Especificidade,Proporção espacial x,Proporção espacial y,Complexidade,grupo
0.5360551976666449,0.3125,0.6956655929999346,0.6,0.551923076923077,0.6375838926174496,4,CF
0.6965458411097463,0.6666666666666666,0.7563041899959053,0.6666666666666667,0.7653846153846153,0.7315436241610739,4,CF
0.6576927734624624,0.8125,0.7605783203873873,0.4,1,0.7344199424736337,4,CF
0.5065167647792812,0.6875,0.8320502943378437,0.0,0.6884615384615385,0.7516778523489933,6,CF
0.5418995164934265,0.6875,0.9381985494802796,0.0,0.8269230769230769,0.7622243528283796,6,CF
0.7813300704326703,0.5625,0.781490211298011,1.0,0.9038461538461539,0.8331735378715245,6,CF
0.48679706933326417,0.625,0.8353912079997924,0.0,0.9403846153846154,0.8581016299137104,8,CF
0.5562268652942143,0.8125,0.856180595882643,0.0,0.8903846153846153,0.800575263662512,8,CF
0.4389479841294032,0.5,0.8168439523882095,0.0,0.6653846153846154,0.6001917545541706,8,CF
0.7186575923004209,0.375,0.7809727769012628,1.0,0.6365384615384615,0.5033557046979866,4,CF
0.7422497713626618,0.6666666666666666,0.8193419066805777,0.7407407407407407,0.9019230769230769,0.7833173537871524,4,CF
0.6374706558216474,0.625,0.8874119674649423,0.4,0.8211538461538461,0.8744007670182167,4,CF
0.5103120650688725,0.6875,0.8434361952066176,0.0,0.9096153846153846,0.7727708533077661,6,CF
0.5377638327179146,0.6875,0.9257914981537437,0.0,0.7423076923076923,0.7718120805369127,6,CF
0.822996737099337,0.6875,0.781490211298011,1.0,0.8115384615384615,0.8744007670182167,6,CF
0.48679706933326417,0.625,0.8353912079997924,0.0,0.9134615384615384,0.7986577181208053,8,CF
0.8916666666666666,0.875,0.8,1.0,0.8730769230769231,0.7976989453499521,8,CF
0.7830505011866756,0.6944444444444444,0.8720983634634086,0.782608695652174,0.8269230769230769,0.75071907957814,8,CF
0.41974337221783536,0.4375,0.821730116653506,0.0,0.9730769230769231,0.7430488974113135,4,CF
0.7440951729403734,0.7346938775510204,0.7225916412701,0.775,0.8884615384615384,0.7976989453499521,4,CF
0.6655897321957776,0.75,0.8467691965873326,0.4,0.9346153846153846,0.785234899328859,4,CF
0.4856834314459479,0.625,0.8320502943378437,0.0,0.9384615384615385,0.788111217641419,6,CF
0.48142399092853205,0.625,0.8192719727855963,0.0,0.9826923076923076,0.7555129434324065,6,CF
0.822996737099337,0.6875,0.781490211298011,1.0,0.8423076923076923,0.7698945349952061,6,CF
0.5096844996894229,0.625,0.9040534990682685,0.0,0.8634615384615385,0.7305848513902206,8,CF
0.9231589159570724,0.875,0.8944767478712174,1.0,0.9038461538461539,0.7497603068072867,8,CF
0.40432546438993205,0.4375,0.7754763931697962,0.0,0.9423076923076923,0.7593480345158198,8,CF
0.6653993493184877,0.75,0.8461980479554632,0.4,0.7769230769230769,0.9357622243528284,4,CF
0.736197249936716,0.76,0.7610917498101478,0.6875,0.8403846153846154,0.8370086289549377,4,CF
0.6089947022696526,0.75,0.8769841068089578,0.19999999999999996,0.9346153846153846,0.9223394055608821,4,CF
0.47907891025161736,0.625,0.8122367307548523,0.0,0.9057692307692308,0.9376797698945349,6,CF
0.4563182191888928,0.625,0.7439546575666784,0.0,0.9153846153846154,0.965484180249281,6,CF
0.8128438052134682,0.75,0.7885314156404046,0.9,0.9961538461538462,0.87248322147651,6,CF
0.47038514305077933,0.5,0.9111554291523379,0.0,0.9519230769230769,0.8034515819750719,8,CF
0.5555545592203196,0.8125,0.8541636776609587,0.0,1.0057692307692307,0.7833173537871524,8,CF
