Trajectory,Repetition,Y_Position,X_Position
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2137,757
1,1,2195,745
1,1,2223,742
1,1,2246,738
1,1,2267,737
1,1,2293,735
1,1,2320,733
1,1,2349,731
1,1,2375,730
1,1,2406,730
1,1,2432,728
1,1,2464,726
1,1,2491,725
1,1,2513,724
1,1,2533,726
1,1,2559,727
1,1,2586,726
1,1,2609,725
1,1,2639,723
1,1,2663,722
1,1,2684,722
1,1,2704,722
1,1,2726,722
1,1,2742,722
1,1,2757,721
1,1,2773,721
1,1,2786,722
1,1,2800,723
1,1,2814,724
1,1,2827,725
1,1,2847,726
1,1,2860,725
1,1,2875,725
1,1,2885,725
1,1,2902,727
1,1,2914,730
1,1,2937,732
1,1,2949,732
1,1,2979,732
1,1,2991,732
1,1,3006,732
1,1,3020,732
1,1,3045,732
1,1,3051,733
1,1,3053,733
1,1,3053,733
1,1,3053,733
1,1,3053,733
1,1,3053,733
1,1,3053,733
1,1,3053,733
1,1,3053,733
1,1,3053,733
1,1,3053,733
1,1,3053,733
1,1,3053,733
1,1,3053,733
1,1,3054,733
1,1,3054,734
1,1,3054,734
1,1,3054,734
1,1,3054,734
1,1,3061,734
1,1,3062,734
1,1,3062,734
1,1,3064,734
1,1,3065,734
1,1,3068,735
1,1,3068,735
1,1,3068,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,735
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,1,3069,736
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
1,2,2139,759
