737439.829865671,737439.831003669,737439.831110312,737439.831399664
737439.831512546,737439.832425382,737439.832531331,737439.832820683
737439.832926655,737439.834318241,737439.834424225,737439.834713588
737439.834819502,737439.835977488,737439.836083414,737439.836372766
737439.836478704,737439.837809664,737439.837915613,737439.838204977
737439.838310914,737439.83915875,737439.839264699,737439.839554051
737439.839660012,737439.840425139,737439.840531076,737439.840820428
737439.840926366,737439.842350278,737439.842456215,737439.842745579
737439.842851493,737439.843456354,737439.843562315,737439.843851667
737439.843957593,737439.845680058,737439.845785972,737439.846075336
737439.846181285,737439.848286667,737439.848392604,737439.848681956
737439.84878787,737439.849712975,737439.8498189,737439.850108252
737439.850214178,737439.851564086,737439.851670012,737439.851959363
737439.852065289,737439.852777187,737439.852883125,737439.853172488
737439.853278391,737439.854366724,737439.854472674,737439.854762025
737439.854867963,737439.855914861,737439.85602081,737439.856310162
737439.856416065,737439.857443044,737439.857548981,737439.857838333
737439.857944248,737439.858860718,737439.858966667,737439.85925603
