Desempenho,Acuracia,Similaridade,Especificidade,Proporção espacial x,Proporção espacial y
0.6653993493184877,0.75,0.8461980479554632,0.4,0.7769230769230769,0.9357622243528284
0.736197249936716,0.76,0.7610917498101478,0.6875,0.8403846153846154,0.8370086289549377
0.6089947022696526,0.75,0.8769841068089578,0.1999999999999999,0.9346153846153846,0.922339405560882
0.4790789102516173,0.625,0.8122367307548523,0.0,0.9057692307692308,0.9376797698945348
0.4563182191888928,0.625,0.7439546575666784,0.0,0.9153846153846154,0.965484180249281
0.8128438052134682,0.75,0.7885314156404046,0.9,0.9961538461538462,0.87248322147651
0.4703851430507793,0.5,0.911155429152338,0.0,0.9519230769230768,0.8034515819750719
0.5314858431944031,0.75,0.8444575295832093,0.0,1.0057692307692307,0.7833173537871524
0.894287334470372,0.9375,0.7453620034111159,1.0,0.9346153846153846,0.8887823585810163
0.6278724462171376,0.6875,0.7961173386514129,0.4,0.8807692307692307,0.9386385426653884
0.3757930938958776,0.4375,0.6898792816876329,0.0,0.8596153846153847,0.8024928092042186
0.4899122638333068,0.625,0.8447367914999205,0.0,0.9903846153846154,0.9050814956855224
0.5056281779181734,0.75,0.7668845337545204,0.0,0.9307692307692308,0.9022051773729626
0.4835230008582039,0.6875,0.7630690025746119,0.0,0.925,0.8830297219558965
0.822996737099337,0.6875,0.781490211298011,1.0,0.9865384615384616,0.8849472674976031
0.4703851430507793,0.5,0.911155429152338,0.0,0.9692307692307692,0.8149568552253116
0.5314858431944031,0.75,0.8444575295832093,0.0,0.9884615384615384,0.8197507190795782
0.9248859634416524,0.9375,0.8371578903249574,1.0,0.9634615384615384,0.8897411313518696
0.6206988897471611,0.6875,0.7745966692414834,0.4,0.8865384615384615,0.906040268456376
0.3995246176427351,0.4375,0.7610738529282056,0.0,0.9980769230769232,0.9319271332694152
0.4916666666666667,0.625,0.85,0.0,0.946153846153846,0.825503355704698
0.4995509363515786,0.625,0.8736528090547359,0.0,0.921153846153846,0.8082454458293384
0.526898012166812,0.8125,0.7681940365004358,0.0,0.9384615384615383,0.950143815915628
0.8128438052134682,0.75,0.7885314156404046,0.9,0.9865384615384616,0.9079578139980824
0.4703851430507793,0.5,0.911155429152338,0.0,0.8942307692307693,0.8322147651006712
0.5167701290807313,0.75,0.8003103872421938,0.0,0.9884615384615384,0.8053691275167785
0.9379762479366412,1.0,0.8139287438099234,1.0,0.9673076923076924,0.8542665388302972
0.4442746258674876,0.5625,0.7703238776024629,0.0,0.7365384615384616,0.6768935762224353
0.4834688645687433,0.5625,0.7450494508490871,0.1428571428571429,0.7788461538461539,0.8763183125599233
0.491634892917024,0.625,0.8499046787510721,0.0,0.7826923076923077,0.725790987535954
0.8309097708015619,0.75,0.9245474942228676,0.8181818181818181,0.8730769230769231,0.7689357622243528
0.6261701726862824,0.875,0.6701771847255139,0.3333333333333333,0.8923076923076924,0.9194630872483222
0.8128438052134682,0.75,0.7885314156404046,0.9,1.0076923076923077,0.9980824544582934
0.4703851430507793,0.5,0.911155429152338,0.0,0.85,0.8801534036433365
