,Desempenho,Acuracia,Especificidade,Similaridade
0,0.403914341468027,0.375,0.0,0.8367430244040812
1,0.578177857413275,0.5625,0.2857142857142857,0.8863192865255393
2,0.641414341468027,0.6875,0.4,0.8367430244040812
3,0.5006860064356764,0.625,0.0,0.8770580193070291
4,0.6329824710836188,0.6875,0.33333333333333337,0.8781140799175228
5,0.9430786878169966,1.0,1.0,0.8292360634509895
6,0.4549140936503488,0.5625,0.0,0.8022422809510465
7,0.5190008890795806,0.8125,0.0,0.7445026672387419
8,0.4439958546581019,0.5625,0.0,0.7694875639743057
9,0.7879625617815846,0.5625,1.0,0.8013876853447538
10,0.6208192859501822,0.375,0.7142857142857143,0.7731721435648321
11,0.7749859704614351,0.5,1.0,0.8249579113843054
12,0.7604310955390878,0.375,1.0,0.9062932866172634
13,0.719228267306872,0.3125,1.0,0.8451848019206156
14,0.6869119524268862,0.25,1.0,0.8107358572806586
15,0.7186163844863396,0.375,1.0,0.7808491534590186
16,0.7097765917793794,0.375,1.0,0.754329775338138
17,0.5863983853916223,0.3125,0.6666666666666667,0.7800284895082003
18,0.7735825712615477,0.7222222222222222,0.76,0.8385254915624211
19,0.4689291973115629,0.625,0.1428571428571429,0.6389304490775459
20,0.5827953904458063,0.6875,0.19999999999999996,0.860886171337419
21,0.7458134618839707,0.375,1.0,0.862440385651912
22,0.6380326342883157,0.75,0.33333333333333337,0.8307645695316135
23,0.944397388655912,1.0,1.0,0.8331921659677362
24,0.7227416998937054,0.8125,0.5,0.8557250996811163
25,0.5488909851039887,0.875,0.0,0.7716729553119661
26,0.6312854104935351,0.75,0.33333333333333337,0.8105228981472717
27,0.8491764944906848,0.7222222222222222,1.0,0.8253072612498318
28,0.5114919792540242,0.3125,0.5714285714285715,0.6505473663335013
29,0.7676516895156554,0.5,1.0,0.8029550685469662
30,0.4909409173322649,0.625,0.0,0.8478227519967948
31,0.7157533407938333,0.375,1.0,0.7722600223814999
32,0.6787505874170813,0.25,1.0,0.7862517622512439
33,0.7013485724016775,0.3125,1.0,0.7915457172050325
34,0.7061254306041885,0.375,1.0,0.7433762918125657
35,0.7182478491949057,0.375,1.0,0.7797435475847171
36,0.7171292284482513,0.75,0.6,0.8013876853447538
37,0.4624265414358866,0.625,0.1428571428571429,0.6194224814505167
38,0.4227140950242656,0.5625,0.0,0.7056422850727971
39,0.5351727844081222,0.75,0.0,0.8555183532243665
40,0.6108194031967461,0.6875,0.33333333333333337,0.8116248762569048
41,0.8870839207504146,0.875,1.0,0.7862517622512439
42,0.6966978291170838,0.875,0.5,0.7150934873512511
43,0.5028634537249904,0.4375,0.5,0.5710903611749714
44,0.5177992119302216,0.75,0.0,0.8033976357906649
45,0.768320706748625,0.5625,1.0,0.7424621202458749
46,0.3742035965125406,0.25,0.2857142857142857,0.5868965038233361
47,0.6446191727213149,0.4375,0.8,0.6963575181639445
48,0.7532702394277786,0.375,1.0,0.8848107182833358
49,0.7430282519518333,0.4375,1.0,0.7915847558554998
50,0.6728830369525198,0.25,1.0,0.7686491108575594
51,0.6783218617196654,0.3125,1.0,0.722465585158996
52,0.4812004677508981,0.375,0.5,0.5686014032526943
53,0.5912397627810848,0.3125,0.6666666666666667,0.7945526216765877
54,0.7406994544878028,0.75,0.6,0.8720983634634086
55,0.3722297423383631,0.5,0.0,0.6166892270150894
56,0.448772686053675,0.5625,0.0,0.7838180581610249
57,0.5680587304895939,0.875,0.0,0.8291761914687816
58,0.677988714108439,0.875,0.33333333333333337,0.8256328089919834
59,0.8850366540188875,0.8125,1.0,0.8426099620566628
60,0.4938897798178841,0.75,0.0,0.7316693394536524
61,0.6182022080206298,0.75,0.5,0.6046066240618893
62,0.4620768684300634,0.5625,0.0,0.8237306052901903
63,0.7801058197684009,0.5625,1.0,0.7778174593052023
64,0.5113858861091012,0.375,0.5714285714285715,0.5877290868987322
65,0.6755740308958105,0.5,0.8,0.7267220926874316
66,0.704015167842602,0.375,1.0,0.737045503527806
67,0.7327317990162646,0.4375,1.0,0.7606953970487937
68,0.6477873977881282,0.125,1.0,0.8183621933643848
69,0.7357556289596313,0.5,1.0,0.707266886878894
70,0.7359555530417268,0.625,1.0,0.5828666591251804
71,0.6105440201711638,0.3125,0.6666666666666667,0.8524653938468247
72,0.5815789304999736,0.5,0.4,0.8447367914999205
73,0.5193169856458079,0.625,0.2857142857142857,0.647236671223138
74,0.536272686053675,0.625,0.19999999999999996,0.7838180581610249
75,0.5680587304895939,0.875,0.0,0.8291761914687816
76,0.6179093541980253,0.6875,0.33333333333333337,0.8328947292607425
77,0.8647595135159599,0.75,1.0,0.84427854054788
78,0.4813619966631788,0.6875,0.0,0.7565859899895366
79,0.6182022080206298,0.75,0.5,0.6046066240618893
80,0.4750385887658097,0.5625,0.0,0.862615766297429
81,0.7608745973749755,0.5,1.0,0.7826237921249264
82,0.5212366644288547,0.375,0.5714285714285715,0.617281421857993
83,0.6755740308958105,0.5,0.8,0.7267220926874316
84,0.7116927251710167,0.375,1.0,0.7600781755130499
85,0.747745039507993,0.4375,1.0,0.805735118523979
86,0.7332210752411058,0.4375,1.0,0.7621632257233177
87,0.715002946111048,0.4375,1.0,0.7075088383331438
88,0.7359555530417268,0.625,1.0,0.5828666591251804
89,0.4657027734982839,0.25,0.33333333333333337,0.8137749871615185
90,0.4312087183379769,0.5625,0.0,0.731126155013931
91,0.6759681945896245,0.8125,0.5714285714285715,0.6439760123403022
92,0.6279573932176056,0.75,0.4,0.7338721796528167
93,0.5680587304895939,0.875,0.0,0.8291761914687816
94,0.6239448232506394,0.6875,0.33333333333333337,0.8510011364185847
95,0.881090824769503,0.8125,1.0,0.8307724743085091
96,0.5359808926007879,0.875,0.0,0.7329426778023636
97,0.3847009370148195,0.5625,0.0,0.5916028110444587
98,0.5147285409524054,0.6875,0.0,0.8566856228572162
99,0.7500355803416688,0.5625,1.0,0.6876067410250065
100,0.5217690339446664,0.375,0.5714285714285715,0.618878530405428
101,0.6614775008276197,0.4375,0.8,0.746932502482859
102,0.7116927251710167,0.375,1.0,0.7600781755130499
103,0.7178585025957386,0.375,1.0,0.7785755077872157
104,0.7217742472566501,0.4375,1.0,0.72782274176995
105,0.7411359711172887,0.5,1.0,0.7234079133518662
106,0.6075134628733395,0.25,1.0,0.5725403886200184
107,0.5986067503575371,0.3125,0.6666666666666667,0.8166535844059444
126,0.4604118252973913,0.4375,0.19999999999999996,0.743735475892174
127,0.6551348612562912,0.75,0.5714285714285715,0.6439760123403022
128,0.621999648053841,0.6875,0.4,0.778498944161523
129,0.5354945807455241,0.75,0.0,0.8564837422365724
130,0.920226848335596,0.875,1.0,0.8856805450067885
131,0.8594476280865576,0.75,1.0,0.8283428842596728
132,0.4481476929453976,0.625,0.0,0.7194430788361927
133,0.6059595557077958,0.75,0.5,0.5678786671233875
134,0.5798807371559817,0.5625,0.33333333333333337,0.8438088781346117
135,0.6951030541229768,0.375,1.0,0.7103091623689303
136,0.5217690339446664,0.375,0.5714285714285715,0.618878530405428
137,0.6460496832484569,0.4375,0.8,0.7006490497453707
138,0.7226801673569668,0.375,1.0,0.7930405020709004
139,0.7485946552516483,0.4375,1.0,0.8082839657549449
140,0.7559310924304237,0.5,1.0,0.7677932772912709
141,0.8279362180711868,0.8367346938775511,1.0,0.6470739603360095
142,0.5009629324232944,0.4375,0.5,0.5653887972698832
143,0.5940046495917755,0.3125,0.6666666666666667,0.8028472821086596
144,0.6139474228374848,0.6875,0.4,0.7543422685124546
145,0.6516996495621773,0.5,0.8571428571428572,0.5979560915436748
146,0.3558178404231426,0.3125,0.0,0.7549535212694278
147,0.4779930191483363,0.625,0.0,0.8089790574450092
148,0.6060783019494719,0.75,0.33333333333333337,0.7349015725150821
149,0.8881308991527486,0.875,1.0,0.7893926974582456
150,0.507111336300157,0.8125,0.0,0.708834008900471
151,0.5010461263217924,0.875,0.0,0.628138378965377
152,0.4469234414976961,0.5625,0.0,0.7782703244930884
153,0.6170206293611649,0.5,0.6,0.7510618880834945
154,0.7057199568410013,0.5625,1.0,0.554659870523004
155,0.6455078435576681,0.5625,0.6,0.7740235306730041
156,0.7248874297532945,0.375,1.0,0.7996622892598831
157,0.7121842384397414,0.4375,1.0,0.6990527153192245
158,0.6628213787773024,0.25,1.0,0.7384641363319072
159,0.6918639176610079,0.375,1.0,0.7005917529830237
160,0.6641028023047499,0.375,1.0,0.6173084069142499
161,0.5776200111813946,0.3125,0.6666666666666667,0.7536933668775172
