,Desempenho
0,0.403914341468027
1,0.578177857413275
2,0.641414341468027
3,0.5006860064356764
4,0.6329824710836188
5,0.9430786878169966
6,0.4549140936503488
7,0.5190008890795806
8,0.4439958546581019
9,0.7879625617815846
10,0.6208192859501822
11,0.7749859704614351
12,0.7604310955390878
13,0.719228267306872
14,0.6869119524268862
15,0.7186163844863396
16,0.7097765917793794
17,0.5863983853916223
18,0.7735825712615477
19,0.4689291973115629
20,0.5827953904458063
21,0.7458134618839707
22,0.6380326342883157
23,0.944397388655912
24,0.7227416998937054
25,0.5488909851039887
26,0.6312854104935351
27,0.8491764944906848
28,0.5114919792540242
29,0.7676516895156554
30,0.4909409173322649
31,0.7157533407938333
32,0.6787505874170813
33,0.7013485724016775
34,0.7061254306041885
35,0.7182478491949057
36,0.7171292284482513
37,0.4624265414358866
38,0.4227140950242656
39,0.5351727844081222
40,0.6108194031967461
41,0.8870839207504146
42,0.6966978291170838
43,0.5028634537249904
44,0.5177992119302216
45,0.768320706748625
46,0.3742035965125406
47,0.6446191727213149
48,0.7532702394277786
49,0.7430282519518333
50,0.6728830369525198
51,0.6783218617196654
52,0.4812004677508981
53,0.5912397627810848
54,0.7406994544878028
55,0.3722297423383631
56,0.448772686053675
57,0.5680587304895939
58,0.677988714108439
59,0.8850366540188875
60,0.4938897798178841
61,0.6182022080206298
62,0.4620768684300634
63,0.7801058197684009
64,0.5113858861091012
65,0.6755740308958105
66,0.704015167842602
67,0.7327317990162646
68,0.6477873977881282
69,0.7357556289596313
70,0.7359555530417268
71,0.6105440201711638
72,0.5815789304999736
73,0.5193169856458079
74,0.536272686053675
75,0.5680587304895939
76,0.6179093541980253
77,0.8647595135159599
78,0.4813619966631788
79,0.6182022080206298
80,0.4750385887658097
81,0.7608745973749755
82,0.5212366644288547
83,0.6755740308958105
84,0.7116927251710167
85,0.747745039507993
86,0.7332210752411058
87,0.715002946111048
88,0.7359555530417268
89,0.4657027734982839
90,0.4312087183379769
91,0.6759681945896245
92,0.6279573932176056
93,0.5680587304895939
94,0.6239448232506394
95,0.881090824769503
96,0.5359808926007879
97,0.3847009370148195
98,0.5147285409524054
99,0.7500355803416688
100,0.5217690339446664
101,0.6614775008276197
102,0.7116927251710167
103,0.7178585025957386
104,0.7217742472566501
105,0.7411359711172887
106,0.6075134628733395
107,0.5986067503575371
126,0.4604118252973913
127,0.6551348612562912
128,0.621999648053841
129,0.5354945807455241
130,0.920226848335596
131,0.8594476280865576
132,0.4481476929453976
133,0.6059595557077958
134,0.5798807371559817
135,0.6951030541229768
136,0.5217690339446664
137,0.6460496832484569
138,0.7226801673569668
139,0.7485946552516483
140,0.7559310924304237
141,0.8279362180711868
142,0.5009629324232944
143,0.5940046495917755
144,0.6139474228374848
145,0.6516996495621773
146,0.3558178404231426
147,0.4779930191483363
148,0.6060783019494719
149,0.8881308991527486
150,0.507111336300157
151,0.5010461263217924
152,0.4469234414976961
153,0.6170206293611649
154,0.7057199568410013
155,0.6455078435576681
156,0.7248874297532945
157,0.7121842384397414
158,0.6628213787773024
159,0.6918639176610079
160,0.6641028023047499
161,0.5776200111813946
