,Overlap
775,0.5
776,0.5
777,0.5
778,0.5
779,0.5
780,0.5
781,0.5
782,0.5
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.25
793,0.25
794,0.25
795,0.25
796,0.25
797,0.25
798,0.25
799,0.25
800,0.25
801,0.5
802,0.5
803,0.5
804,0.5
805,0.5
806,0.5
807,0.5
808,0.5
809,0.5
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.25
820,0.25
821,0.25
822,0.25
823,0.25
824,0.25
825,0.25
826,0.25
827,0.25
828,0.5
829,0.5
830,0.5
831,0.5
832,0.5
833,0.5
834,0.5
835,0.5
836,0.5
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.25
847,0.25
848,0.25
849,0.25
850,0.25
851,0.25
852,0.25
853,0.25
854,0.25
855,0.5
856,0.5
857,0.5
858,0.5
859,0.5
860,0.5
861,0.5
862,0.5
863,0.5
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.25
874,0.25
875,0.25
876,0.25
877,0.25
878,0.25
879,0.25
880,0.25
881,0.25
882,0.5
883,0.5
884,0.5
885,0.5
886,0.5
887,0.5
888,0.5
889,0.5
890,0.5
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.25
901,0.25
902,0.25
903,0.25
904,0.25
905,0.25
906,0.25
907,0.25
908,0.25
909,0.5
910,0.5
911,0.5
912,0.5
913,0.5
914,0.5
915,0.5
916,0.5
917,0.5
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.25
928,0.25
929,0.25
930,0.25
931,0.25
932,0.25
933,0.25
934,0.25
935,0.25
936,0.5
937,0.5
938,0.5
939,0.5
940,0.5
941,0.5
942,0.5
943,0.5
944,0.5
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.25
955,0.25
956,0.25
957,0.25
958,0.25
959,0.25
960,0.25
961,0.25
962,0.25
963,0.5
964,0.5
965,0.5
966,0.5
967,0.5
968,0.5
969,0.5
970,0.5
971,0.5
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.25
982,0.25
983,0.25
984,0.25
985,0.25
986,0.25
987,0.25
988,0.25
989,0.25
990,0.5
991,0.5
992,0.5
993,0.5
994,0.5
995,0.5
996,0.5
997,0.5
998,0.5
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.25
1009,0.25
1010,0.25
