737440.728307442,737440.728307442,737440.728481366,737440.728639826,737440.728639826,737440.728813646,737440.728972072,737440.728972072,737440.729145787
737440.729305324,737440.729302477,737440.729479028,737440.729638414,737440.72963559,737440.729812141,737440.729971528,737440.729968692,737440.730145208
737440.730304595,737440.730301759,737440.730478275,737440.73063765,737440.730634815,737440.730811331,737440.730970706,737440.73096787,737440.731144375
737440.731293623,737440.731293623,737440.731467303,737440.731616551,737440.731616551,737440.731790231,737440.731939514,737440.731939514,737440.732113206
737440.732282743,737440.732282743,737440.732456435,737440.732625938,737440.732625938,737440.73279963,737440.732969144,737440.732969144,737440.733142824
737440.733286285,737440.733286296,737440.733459977,737440.733603414,737440.733603414,737440.733777107,737440.733920683,737440.733920683,737440.734094363
737440.734243588,737440.734243588,737440.734417292,737440.734566528,737440.734566528,737440.73474022,737440.734889444,737440.734889444,737440.735063137
737440.735226817,737440.735223993,737440.735400509,737440.735564201,737440.735561377,737440.735737893,737440.73590184,737440.735898993,737440.736075544
737440.736245023,737440.736245023,737440.736418715,737440.736588206,737440.736588206,737440.736761887,737440.736931412,737440.736931412,737440.737105093
737440.737273137,737440.737270289,737440.737446817,737440.737614873,737440.737612025,737440.737788553,737440.737956597,737440.737953762,737440.738130289
737440.738299826,737440.738299826,737440.738473519,737440.738643009,737440.738643009,737440.738816678,737440.738986157,737440.738986157,737440.739159861
737440.739309097,737440.739309097,737440.739482778,737440.739632002,737440.739632002,737440.739805683,737440.739954919,737440.739954919,737440.7401286
737440.740280764,737440.740280764,737440.740454444,737440.740606586,737440.740606586,737440.740780278,737440.740932396,737440.740932396,737440.741106111
737440.741255417,737440.741255417,737440.741429109,737440.741578345,737440.741578345,737440.741752049,737440.741901331,737440.741901331,737440.742075012
737440.742233021,737440.742233021,737440.742406701,737440.742564641,737440.742564641,737440.74273831,737440.742896262,737440.742896262,737440.743069942
737440.743245243,737440.743245243,737440.743418912,737440.743594201,737440.743594201,737440.743767905,737440.743943206,737440.743943206,737440.744116875
737440.74427625,737440.744273403,737440.74444993,737440.744609294,737440.74460647,737440.744782986,737440.744942407,737440.744939572,737440.745116088
737440.745285613,737440.745285613,737440.745459294,737440.745628877,737440.745628877,737440.745802593,737440.745972118,737440.745972118,737440.746145799
737440.746300891,737440.746300891,737440.746474595,737440.746629618,737440.746629618,737440.746803299,737440.746958322,737440.746958322,737440.747132002
737440.74728272,737440.747279884,737440.747456412,737440.747607118,737440.747604282,737440.74778081,737440.747931505,737440.747928669,737440.748105185
737440.748286296,737440.748286296,737440.748459965,737440.748641053,737440.748641053,737440.748814734,737440.748995822,737440.748995822,737440.749169525
737440.749312986,737440.749312986,737440.749486678,737440.749630162,737440.749630162,737440.749803843,737440.749947419,737440.749947419,737440.750121111
737440.750280486,737440.75027765,737440.75045419,737440.750613623,737440.750610787,737440.750787303,737440.750946678,737440.750943831,737440.751120359
737440.751271065,737440.751268229,737440.751444757,737440.751595544,737440.751592708,737440.751769248,737440.751919965,737440.75191713,737440.752093646
737440.752237211,737440.752237211,737440.752410891,737440.752554387,737440.752554387,737440.752728067,737440.752871551,737440.752871551,737440.753045243
737440.753195995,737440.75319316,737440.753369699,737440.753520451,737440.753517627,737440.753694143,737440.753844861,737440.753842025,737440.754018553
737440.754176505,737440.754176505,737440.754350174,737440.754508113,737440.754508113,737440.754681805,737440.754839884,737440.754839884,737440.755013565
