,Acuracia,Especificidade,Similaridade,grupo
27,0.75,0.4,0.8461980479554632,CF
28,0.76,0.6875,0.7610917498101478,CF
29,0.75,0.1999999999999999,0.8769841068089578,CF
30,0.625,0.0,0.8122367307548523,CF
31,0.625,0.0,0.7439546575666784,CF
32,0.75,0.9,0.7885314156404046,CF
33,0.5,0.0,0.911155429152338,CF
34,0.75,0.0,0.8444575295832093,CF
35,0.9375,1.0,0.7453620034111159,CF
36,0.6875,0.4,0.7961173386514129,CF
37,0.4375,0.0,0.6898792816876329,CF
38,0.625,0.0,0.8447367914999205,CF
39,0.75,0.0,0.7668845337545204,CF
40,0.6875,0.0,0.7630690025746119,CF
41,0.6875,1.0,0.781490211298011,CF
42,0.5,0.0,0.911155429152338,CF
43,0.75,0.0,0.8444575295832093,CF
44,0.9375,1.0,0.8371578903249574,CF
45,0.6875,0.4,0.7745966692414834,CF
46,0.4375,0.0,0.7610738529282056,CF
47,0.625,0.0,0.85,CF
48,0.625,0.0,0.8736528090547359,CF
49,0.8125,0.0,0.7681940365004358,CF
50,0.75,0.9,0.7885314156404046,CF
51,0.5,0.0,0.911155429152338,CF
52,0.75,0.0,0.8003103872421938,CF
53,1.0,1.0,0.8139287438099234,CF
54,0.5625,0.0,0.7703238776024629,CF
55,0.5625,0.1428571428571429,0.7450494508490871,CF
56,0.625,0.0,0.8499046787510721,CF
57,0.75,0.8181818181818181,0.9245474942228676,CF
58,0.875,0.3333333333333333,0.6701771847255139,CF
59,0.75,0.9,0.7885314156404046,CF
60,0.5,0.0,0.911155429152338,CF
61,0.75,0.0,0.8444575295832093,CF
62,0.875,0.3333333333333333,0.7862839336031381,CF
63,0.75,0.4,0.7854091098781056,CF
64,0.5625,0.1428571428571429,0.6748819059987713,CF
65,0.625,0.0,0.7671942104328858,CF
66,0.7755102040816326,0.8285714285714285,0.827328794659617,CF
67,0.8125,0.0,0.7474555834410685,CF
68,0.6875,1.0,0.781490211298011,CF
69,0.5,0.0,0.911155429152338,CF
70,0.75,0.0,0.8444575295832093,CF
71,0.875,0.3333333333333333,0.7862839336031381,CF
72,0.75,0.4,0.7674257668936506,CF
73,0.4375,0.0,0.6262126856349297,CF
74,0.6875,0.1999999999999999,0.8292279828967711,CF
75,0.6875,0.0,0.8661311391372267,CF
76,0.8125,0.0,0.7243475426973831,CF
77,0.6875,1.0,0.781490211298011,CF
78,0.5625,0.0,0.9063269671749656,CF
79,0.75,0.0,0.8003103872421938,CF
80,0.75,0.3333333333333333,0.8139287438099234,CF
81,0.6875,0.1999999999999999,0.7458216945088149,CF
82,0.5,0.4285714285714286,0.8725125761206665,CF
83,0.4375,0.1999999999999999,0.8029550685469662,CF
84,0.625,0.0,0.8304818663752367,CF
85,0.88,0.8333333333333334,0.7134803296482928,CF
86,0.5625,1.0,0.7344124877258417,CF
87,0.5,0.0,0.911155429152338,CF
88,0.75,0.0,0.8444575295832093,CF
