,Desempenho,grupo
27,0.6653993493184877,CF
28,0.736197249936716,CF
29,0.6089947022696526,CF
30,0.4790789102516173,CF
31,0.4563182191888928,CF
32,0.8128438052134682,CF
33,0.4703851430507793,CF
34,0.5314858431944031,CF
35,0.894287334470372,CF
36,0.6278724462171376,CF
37,0.3757930938958776,CF
38,0.4899122638333068,CF
39,0.5056281779181734,CF
40,0.4835230008582039,CF
41,0.822996737099337,CF
42,0.4703851430507793,CF
43,0.5314858431944031,CF
44,0.9248859634416524,CF
45,0.6206988897471611,CF
46,0.3995246176427351,CF
47,0.4916666666666667,CF
48,0.4995509363515786,CF
49,0.526898012166812,CF
50,0.8128438052134682,CF
51,0.4703851430507793,CF
52,0.5167701290807313,CF
53,0.9379762479366412,CF
54,0.4442746258674876,CF
55,0.4834688645687433,CF
56,0.491634892917024,CF
57,0.8309097708015619,CF
58,0.6261701726862824,CF
59,0.8128438052134682,CF
60,0.4703851430507793,CF
61,0.5314858431944031,CF
62,0.6648724223121572,CF
63,0.6451363699593685,CF
64,0.4600796829519714,CF
65,0.4640647368109619,CF
66,0.8104701424375594,CF
67,0.5199851944803562,CF
68,0.822996737099337,CF
69,0.4703851430507793,CF
70,0.5314858431944031,CF
71,0.6648724223121572,CF
72,0.6391419222978835,CF
73,0.3545708952116432,CF
74,0.5722426609655904,CF
75,0.5178770463790756,CF
76,0.5122825142324611,CF
77,0.822996737099337,CF
78,0.4896089890583219,CF
79,0.5167701290807313,CF
80,0.6324206923810857,CF
81,0.5444405648362717,CF
82,0.600361334897365,CF
83,0.4801516895156554,CF
84,0.4851606221250789,CF
85,0.8089378876605421,CF
86,0.765637495908614,CF
87,0.4703851430507793,CF
88,0.5314858431944031,CF
89,0.8170381537492103,CF
90,0.4896634037660036,CF
91,0.4627740374501374,CF
92,0.7714781694372533,CF
93,0.9215501190053796,CF
94,0.8160326254627887,CF
95,0.822996737099337,CF
96,0.4703851430507793,CF
97,0.5038410210535559,CF
98,0.8537475507330922,CF
99,0.574628995875627,CF
100,0.6246233189901389,CF
101,0.6366666666666666,CF
102,0.499824877398402,CF
103,0.9209440781520494,CF
104,0.7864708292419472,CF
105,0.4896089890583219,CF
106,0.5167701290807313,CF
107,0.790266106919462,CF
108,0.7003696707777145,CF
109,0.495632072266723,CF
110,0.7384110700658685,CF
111,0.5029611588277282,CF
112,0.8246008113209022,CF
113,0.8854745413128672,CF
114,0.7156019502484638,CF
115,0.5880098488710038,CF
116,0.8021974704874301,CF
117,0.6324697728945532,CF
118,0.7105390303659013,CF
119,0.6185568962156982,CF
120,0.8148420726677239,CF
121,0.8202102832510273,CF
122,0.798419494237281,CF
123,0.4871835813759811,CF
124,0.7308305665928833,CF
125,0.8021292707650067,CF
126,0.73083038975695,CF
127,0.5030187277238493,CF
128,0.7527004356102834,CF
129,0.4761751345948129,CF
130,0.7109140581512942,CF
131,0.8206795112654657,CF
132,0.4764738156210035,CF
133,0.5361503434057037,CF
134,0.7700664628047879,CF
189,0.711610047510582,CF
190,0.4929058079897752,CF
191,0.7991787483763556,CF
192,0.498418021136974,CF
193,0.9188909830712918,CF
194,0.7314695753749927,CF
195,0.7640952559216769,CF
196,0.5314858431944031,CF
197,0.7730877590316635,CF
198,0.6238800400037653,CF
199,0.6678516267861054,CF
200,0.6504696053715853,CF
201,0.5074085680392407,CF
202,0.931160992405862,CF
203,0.8512763226250705,CF
204,0.5635872751226979,CF
205,0.5314858431944031,CF
206,0.8799242424242424,CF
207,0.6572522007884322,CF
208,0.4051636501707798,CF
209,0.5876982108242368,CF
210,0.512294891823294,CF
211,0.918087028584798,CF
212,0.8075189324907986,CF
213,0.4510048415500681,CF
214,0.5663214237683324,CF
215,0.9257804182804182,CF
243,0.4433408596267325,SF
244,0.4507182768278854,SF
245,0.5586368791730955,SF
