,ID,grupo,Desempenho,Acuracia,Similaridade,Especificidade,Protocolo,Complexidade,psd_delta_CZ,psd_theta_CZ,psd_alfa_CZ,psd_beta_CZ,psd_gamma_CZ,psd_delta_C3,psd_theta_C3,psd_alfa_C3,psd_beta_C3,psd_gamma_C3,psd_delta_C4,psd_theta_C4,psd_alfa_C4,psd_beta_C4,psd_gamma_C4,psd_norm_delta_CZ,psd_norm_theta_CZ,psd_norm_alfa_CZ,psd_norm_beta_CZ,psd_norm_gamma_CZ,psd_norm_delta_C3,psd_norm_theta_C3,psd_norm_alfa_C3,psd_norm_beta_C3,psd_norm_gamma_C3,psd_norm_delta_C4,psd_norm_theta_C4,psd_norm_alfa_C4,psd_norm_beta_C4,psd_norm_gamma_C4,Proporção espacial x,Proporção espacial y
27,ID_05,CF,0.6653993493184877,0.75,0.8461980479554632,0.4,protB_CF,4,4.233905183355091,3.5576799418777227,1.9307267357362434,2.5518142811051803,1.4059379559512308,2.143261895980686,2.2053825086914003,1.3641908808494918,2.6323150523239747,1.4456115311531903,2.2772977645217907,2.382535589276813,1.2892728409497067,1.5464548732779804,0.9597890937129705,9.193548244713806,3.3870062882451792,1.7146025286221802,0.28530354171001165,0.9054689069951323,1.8548982856617902,1.5174343252395583,0.8315829828622903,0.15797520351994285,0.3502087056875269,2.3411484144455357,2.219185266667594,1.0541571045427824,0.13909628293651888,0.396012736173195,0.7769230769230769,0.9357622243528284
28,ID_05,CF,0.736197249936716,0.76,0.7610917498101478,0.6875,protB_CF,4,1.5285166582543752,1.9091183639829978,1.970715180505067,2.357958042921382,1.0395433965868506,1.883131088106893,1.8171867268392816,1.4677358194603585,2.9961944255774142,1.004641962254027,0.8227371649809356,0.7687832476221956,0.5777852256869664,1.3131237556081032,0.9024701981843464,3.3190378697556593,1.8175316524965262,1.750114694713436,0.26362960103731364,0.6694991191447383,1.629766587814789,1.250332540413514,0.8947018690233663,0.17981298391620312,0.24338098700672056,0.8458049883981703,0.7160742798817528,0.4724185457200134,0.11810925530181761,0.37236273556222305,0.8403846153846154,0.8370086289549377
29,ID_05,CF,0.6089947022696526,0.75,0.8769841068089578,0.1999999999999999,protB_CF,4,1.2740221618514624,2.03918619081378,2.6881187804974616,2.8456528452807106,0.8882972243782206,1.5580446743115317,1.2211522116558626,1.842833407863509,2.6468158212082926,0.9247447238749373,0.8059127148953849,0.9923176694428548,0.8270282196463086,1.43744679462543,0.7792201531628962,2.7664257234344563,1.9413596962136146,2.387212634997852,0.31815592586312313,0.5720917579896801,1.348418688721458,0.8402253463995808,1.1233537210534177,0.15884544962276909,0.2240253663314842,0.8285088160419056,0.9242828362324429,0.6762088253990713,0.1292915231516558,0.3215092846508394,0.9346153846153846,0.922339405560882
30,ID_05,CF,0.4790789102516173,625,0.8122367307548523,0.0,protB_CF,6,1.6241373205048149,1.6984366229735315,2.1768303704448044,2.531847381760599,0.9634175273731671,0.7431759995597531,1.129010401200503,3.0524138419423252,2.831777343089925,1.0278932938945218,1.0438280914968345,1.1292829731246457,3.0918662378098816,4.12519960445934,2.433395262414706,3.526669626613822,1.6169570102365816,1.9331574937366496,0.2830711586004112,0.6204716302010089,0.6431859261406828,0.7768263009171517,1.860689323793091,0.16994569160816994,0.2490137718758572,1.0730948404872682,1.0518575869909588,2.5280240592692307,0.37104214372270894,1.0040284082952118,0.9057692307692308,0.9376797698945348
31,ID_05,CF,0.4563182191888928,625,0.7439546575666784,0.0,protB_CF,6,1.4208994143700693,1.3613278861157596,2.0625314937205985,3.1684517743997276,1.2059596583640086,1.060843188497529,1.4516729133902118,2.831792371580377,4.520296410191804,1.1716871669023021,1.1416603501857026,1.2599442270584404,3.283019905211404,4.53367768204771,1.3460002994634124,3.085356603698237,1.2960204925584249,1.8316531537269454,0.3542462003081616,0.7766765020582174,0.9181128145796076,0.998837298798519,1.7262029678274156,0.27128012079711705,0.2838487638959333,1.173670110387981,1.1735605033961674,2.684318359552706,0.40778280989757254,0.5553649910923576,0.9153846153846154,0.965484180249281
32,ID_05,CF,0.8128438052134682,0.75,0.7885314156404046,0.9,protB_CF,6,1.6862158227013424,2.2570716391783208,1.6975167382042855,2.2976129857852357,1.204315991913063,0.7164554890550789,1.0609117161948234,2.0215909753460437,3.2287375252053607,1.3118675931309554,1.6313160194840748,2.2245994477998465,3.166548995068297,2.602267213660525,1.1130959373986116,3.661467568510832,2.148792460201462,1.5074978959120582,0.25688277049673874,0.7756179284145495,0.6200605072546026,0.7299703556450498,1.2323206942703673,0.19376877673000414,0.31780837515685106,1.677054697006971,2.0720774711670873,2.589087440618992,0.23406159654727052,0.4592677398398475,0.9961538461538462,0.87248322147651
33,ID_05,CF,0.4703851430507793,0.5,0.911155429152338,0.0,protB_CF,8,1.7057385339285247,1.007560480502434,2.834738857927732,2.549516888393555,1.1306219529387818,1.2144883767177816,1.8674320308491588,5.123613897012547,2.964293886179803,1.3090913362248102,2.3256348376889946,1.4793380541959777,2.9173196671763435,3.8249260069278535,1.3122511882102117,3.7038593982193304,0.9592244774688532,2.51742016300044,0.28504668356709006,0.7281566157444946,1.0510859228891383,1.2849042977781466,3.123250702906913,0.17789851163474715,0.31713580903738914,2.3908407576987245,1.3779123506351942,2.3853083348214987,0.34403395744949833,0.5414399757131033,0.9519230769230768,0.8034515819750719
34,ID_05,CF,0.5314858431944031,0.75,0.8444575295832093,0.0,protB_CF,8,1.8343220199312782,3.085066331550479,2.6591999776428565,3.1028594203235116,1.2264692388725962,1.387582698953338,2.570187352830544,2.86815689469222,5.400464880949585,2.694992852411815,2.1684097482648212,3.320676274597645,3.640528622781858,5.976331009151181,3.089977034051117,3.983066992826593,2.9370655132906545,2.361530982808826,0.3469126999568207,0.7898853263647457,1.2008913956475717,1.7684417538052597,1.7483700406500107,0.32410236681855725,0.6528793789624684,2.2292074067373693,3.0930055765490367,2.9766306945315937,0.5375426359575108,1.2749366167864176,1.0057692307692307,0.7833173537871524
35,ID_05,CF,0.894287334470372,0.9375,0.7453620034111159,1.0,protB_CF,8,20.784134918358177,19.78039206005633,8.228133374359459,16.351231970475055,6.792653319280362,21.949499612674117,21.335635567083955,8.332134340889752,20.701917732367292,7.993849083504756,21.345217886846513,21.369437221437693,11.339094024151564,17.853739380370826,9.2421942990768,45.130898974253476,18.831461341630842,7.30708185078169,1.8281363291368076,4.37468549061563,18.996320178619104,14.680186150340718,5.079099432545517,1.2424005493326222,1.9365614348430105,21.943692998916582,19.904315575486184,9.271262175842468,1.6058591991520286,3.813365536862681,0.9346153846153846,0.8887823585810163
36,ID_05,CF,0.6278724462171376,0.6875,0.7961173386514129,0.4,protB_CF,4,3.2103044886753196,1.9013164419448003,1.2027521115669515,2.6539439604675863,2.262323254853982,0.9465199491387466,1.1541195708559826,2.2474027500720695,3.169091694871895,2.4113587155625282,1.6246510749624576,0.9616878887754865,1.7136494570877403,1.7711991204123478,1.467348291498638,6.97089044716629,1.8101040144190472,1.068116877250352,0.2967220683056003,1.4570083666717382,0.8191711121700301,0.7941029029412133,1.3699709540896994,0.19018920437686718,0.5841671822110013,1.6702028814287706,0.8957530806710933,1.4011431037004147,0.15931096228341346,0.6054336474979949,0.8807692307692307,0.9386385426653884
37,ID_05,CF,0.3757930938958776,0.4375,0.6898792816876329,0.0,protB_CF,4,1.4972569624660537,1.1694508866639808,1.7099373799283057,1.906868474179646,0.8439152869641475,0.9129212412517518,1.8689807038754225,1.661367052292917,1.6120395112011465,0.9086396220254755,0.6539598725794349,0.6945179484318942,0.863637549628038,1.4609025438403478,0.8109996399525699,3.25116022278453,1.1133484663137638,1.518528179645605,0.213195894892084,0.5435083740711076,0.7900929179573152,1.285969876923426,1.0127355257752229,0.09674460115986432,0.22012380166343914,0.6722955349327567,0.6469007243934156,0.706141966055601,0.13140125657205012,0.33462162526837325,0.8596153846153847,0.8024928092042186
38,ID_05,CF,0.4899122638333068,625,0.8447367914999205,0.0,protB_CF,4,2.6819701633939985,1.6027247620513663,1.1804675377788953,2.3738704003335442,0.8895756601532412,1.586410811796668,1.416009254171513,4.65307553531602,2.924572461779462,0.7931911810601378,0.6990606707404368,0.7533182215411216,2.022973436396569,1.1932800925933407,0.616967923519951,5.823659486986147,1.52583676330624,1.0483268231432397,0.2654086693497142,0.572915111423572,1.3729683249048374,0.9742985802547636,2.8364200988736474,0.17551467840087726,0.19215567314978427,0.7186608648205811,0.7016695598925891,1.6540578165812443,0.10732988608329287,0.2545633797306906,0.9903846153846154,0.9050814956855224
39,ID_05,CF,0.5056281779181734,0.75,0.7668845337545204,0.0,protB_CF,6,2.4241331357188756,1.7825636314228177,1.7578425467945635,1.7298524462603382,0.876421681255124,1.2207528543513035,1.7272635886911303,1.5656910836696625,3.049272076168563,1.0072160184790846,1.0726241243901313,1.6258080140687525,2.8789533535018563,3.1441398641618434,1.5322232152357174,5.26378933152687,1.6970481683182719,1.5610708754723301,0.1934047603731001,0.5644435292708185,1.05650755094345,1.1884600734280792,0.9544134034880392,0.18299837490771625,0.24400456870866316,1.1026982537082968,1.5143401036651996,2.3539386193892824,0.2828004720308646,0.6322012949180762,0.9307692307692308,0.9022051773729626
40,ID_05,CF,0.4835230008582039,0.6875,0.7630690025746119,0.0,protB_CF,6,1.7610287195566343,2.101247606333345,2.3979359539225698,2.483000589563744,1.0971848869303358,0.7582671105410554,1.4454225893132389,2.3511129693361,3.8586645350733306,0.960365415949127,1.2938746049258043,1.3943694793852046,1.6230050678132102,2.7791039428848308,1.1954725196119398,3.823917114917748,2.000443820715051,2.12951267207777,0.2776098823162688,0.7066220782610767,0.6562466145896515,0.9945367041121589,1.4331905919714452,0.23157308419644718,0.23265470844599034,1.3301521333770252,1.2987693526466326,1.3270289023415305,0.24996722182401349,0.49325664003946995,925,0.8830297219558965
41,ID_05,CF,0.822996737099337,0.6875,0.781490211298011,1.0,protB_CF,6,1.2550309929793002,1.5664466482121497,2.8609883738681674,3.4063089296978433,1.1138235831822385,1.121830894589948,1.7651766538619995,1.7757082678144798,3.2993513104884187,1.1665933554922958,1.336873045147513,1.253786831512116,2.544480870710686,3.7048881822556723,1.0133986754681246,2.7251880906371686,1.4912990303717115,2.540731326394785,0.3808396281019077,0.7173379295867074,0.9708949741884829,1.2145465170443652,1.0824356025037167,0.19800657763136514,0.2826147552688081,1.3743561596211837,1.1678252684057866,2.080461560996698,0.3332371243105564,0.4181322594049396,0.9865384615384616,0.8849472674976031
42,ID_05,CF,0.4703851430507793,0.5,0.911155429152338,0.0,protB_CF,8,3.121638459560927,3.9414278289768845,3.13275346707087,2.6749707431008574,1.0397455467909822,2.4092566782201175,1.9181317184120417,2.792003026115708,2.8738579730998026,1.4556074870597513,1.723300583762466,2.5359891005791724,3.6178668960928917,4.077067074831575,1.251930446642291,6.778360057129446,3.7523445221335425,2.782075224198587,0.2990729508131786,0.6696293103267952,2.08510499371561,1.319788698050501,1.701948193035897,0.1724711097127349,0.3526302903973235,1.771618315418567,2.3621177680469216,2.9581016295954368,0.3667128509155011,0.5165514016786789,0.9692307692307692,0.8149568552253116
43,ID_05,CF,0.5314858431944031,0.75,0.8444575295832093,0.0,protB_CF,8,3.0343529215315357,2.4703568196855485,3.6999815347371623,3.1686692127550486,1.2479688838311631,1.7472392864874564,1.6951963916653767,3.8360011822078377,5.227625868428731,2.784335077421929,1.9936605294788023,3.0273287557065487,3.7917987938271835,5.680852249497548,3.422194394261169,6.588827280605832,2.3518456463703705,3.2858081767312135,0.3542705108284593,0.8037317837699346,1.512158249640117,1.1663959347630948,2.33834821075571,0.3137296425676885,0.6745231084912972,2.0495585866049724,2.819770416970911,3.1003147747728,0.510965722615452,1.4120107997322418,0.9884615384615384,0.8197507190795782
