,Acuracia,Especificidade,Similaridade
0,0.8125,0.6,0.8074061938731719
1,0.5625,0.5714285714285714,0.8968312104826046
2,0.75,0.8,0.7936757901325451
3,0.6875,0.0,0.8682431421244593
4,0.5,0.6666666666666667,0.8133194907106234
5,0.625,1.0,0.9259416862330891
6,0.6875,0.5,0.8681842899711196
7,0.75,0.0,0.8799989649251616
8,0.8125,0.0,0.7280109889280518
9,0.875,1.0,0.7809475220897141
10,0.6875,0.5714285714285714,0.8368873695100211
11,0.875,0.6,0.731310340973526
12,0.6666666666666666,0.8636363636363636,0.7228936649578003
13,0.25,1.0,0.4390570399587614
14,0.75,1.0,0.7513829479387685
15,0.75,0.0,0.8431214694362388
16,0.375,0.5,0.8890257147018888
17,0.6875,0.6666666666666667,0.742076792590696
18,0.6875,0.6,0.8161607813737631
19,0.75,0.5714285714285714,0.8508319756478696
20,0.625,0.1999999999999999,0.9008888496504218
21,0.5625,1.0,0.6582805886043833
22,0.875,0.3333333333333333,0.710957872678362
23,0.75,1.0,0.7889818763544607
24,0.3125,1.0,0.6922186552431729
25,0.8125,0.0,0.8192334073269844
26,0.5,0.3333333333333333,0.7137742529753551
27,0.8125,0.8,0.8045994279894549
28,0.625,0.4285714285714286,0.7610917498101478
29,0.5625,0.4,0.8559575436801258
30,0.6875,0.0,0.8682431421244593
31,0.3125,0.3333333333333333,0.6692445047241755
32,0.8125,1.0,0.8987081072262336
33,0.8125,0.5,0.8285522649991612
34,0.75,1.0,0.871848576319297
35,0.8125,0.3333333333333333,0.7194181676883064
36,0.6875,0.6,0.7931747686306172
37,0.5625,0.4285714285714286,0.8265581531669757
38,0.875,0.8,0.7140627569864099
39,0.6875,0.0,0.8527388003008082
40,0.25,1.0,0.7320024047834479
41,0.9375,1.0,0.850874720887558
42,0.6875,0.5,0.8042853971072706
43,0.625,0.0,0.8958280175293668
44,0.625,0.3333333333333333,0.7937253933193772
45,0.8125,1.0,0.6752813502243227
46,0.75,0.7142857142857143,0.8947368421052632
47,0.875,1.0,0.7839294959021853
48,0.8125,0.5,0.8724024145144709
49,0.9375,1.0,0.8984591897591402
50,0.625,1.0,0.7126524696463825
51,0.75,0.5,0.9043301987499852
52,0.5625,0.5,0.7619119011588126
53,0.5625,1.0,0.6111919138499425
54,0.5,0.1999999999999999,0.8375
55,0.6875,0.4285714285714286,0.8521955379361243
56,0.5,0.0,0.8401388774085707
57,0.6875,0.0,0.8475706863595912
58,0.4375,0.0,0.8181344894563599
59,0.5625,1.0,0.707549137677225
60,0.5625,0.5,0.7272483483536187
61,0.5625,0.0,0.8215269457798041
62,0.875,0.6666666666666667,0.8514124886366488
63,0.75,0.6,0.8321809452445668
64,0.625,0.2857142857142857,0.8947540418023477
65,0.6875,0.1999999999999999,0.7705935588815227
66,0.6875,1.0,0.8206567882510716
67,0.5625,0.0,0.8273792404018689
68,0.6875,1.0,0.7972004375664863
69,0.6875,0.0,0.8557668821131951
70,0.75,0.0,0.8615234405868826
71,0.75,0.6666666666666667,0.7826237921249264
72,0.5,0.4,0.7839294959021853
73,0.5625,0.4285714285714286,0.806110110439843
74,0.4375,0.8,0.7673107732756071
75,0.6875,0.0,0.8618916073713346
76,0.875,0.6666666666666667,0.8372489242911723
77,0.625,1.0,0.7344124877258417
78,0.8125,0.5,0.9040534990682684
79,0.625,0.5,0.8596023825918793
80,0.5625,0.3333333333333333,0.6943650748294137
81,0.8125,0.8,0.8401388774085707
82,0.375,0.4285714285714286,0.8094272134003795
83,1.0,1.0,1.0
84,0.7346938775510204,0.8571428571428572,0.8012336167697753
85,0.64,0.5833333333333333,0.7389617699928747
86,0.8125,1.0,0.8817714069196474
87,0.875,1.0,0.7744958299949138
88,0.6111111111111112,0.6818181818181819,0.8656303011571023
89,0.7222222222222222,0.6956521739130435,0.7240040180702163
90,0.9375,1.0,0.8195375470622296
91,0.4375,0.2857142857142857,0.801275141020233
92,0.8775510204081632,0.8421052631578947,0.7464829817921257
93,0.5,0.0,0.8461538461538461
94,0.5,0.6666666666666667,0.817802054780503
95,0.75,1.0,0.863398731268874
96,0.6875,0.0,0.8541911928586355
97,0.875,0.5,0.8324833246120438
98,0.625,0.0,0.7839663096097782
99,0.5,0.1999999999999999,0.8074061938731719
100,0.5,0.1428571428571429,0.6557412294705282
101,0.875,0.6,0.8401388774085707
102,0.6875,0.0,0.8627959628145762
103,0.625,0.0,0.8148823116916698
104,0.625,1.0,0.8136375599905376
105,0.625,0.0,0.8224338973607243
106,0.6326530612244898,0.7142857142857143,0.8802268140732306
107,0.75,0.6666666666666667,0.8490330634652238
108,0.875,0.6,0.8528028654224417
109,0.375,0.4285714285714286,0.7828813612588127
110,0.8888888888888888,0.92,0.7982214819500759
111,0.4375,0.0,0.8445920492704568
112,0.8125,0.3333333333333333,0.7085252515814197
113,0.8125,1.0,0.9259416862330891
114,0.6875,1.0,0.9270525223779672
115,0.5,0.5,0.8467779915851421
116,0.84,0.6666666666666667,0.7560864148142504
117,0.8125,0.8,0.847038658973673
118,0.75,0.7142857142857143,0.7787549872351
119,0.875,0.6,0.7502178332895193
120,0.6,0.6363636363636364,0.8498365855987974
121,0.5,0.3333333333333333,0.9110433579144298
122,0.75,1.0,0.8668273689494929
123,0.72,0.8181818181818181,0.8029410984014527
124,0.875,0.5,0.8253159635964455
125,0.625,0.0,0.8090909090909091
126,0.5,0.0,0.8044504477441833
127,0.8125,0.7142857142857143,0.8632940710855079
128,0.75,0.4,0.8401388774085707
129,0.625,0.0,0.901751403883351
130,0.625,0.6666666666666667,0.8149580519916495
131,0.625,1.0,0.6960909740235914
132,0.625,0.5,0.8404191500829137
133,0.6875,0.0,0.8945648693184409
134,0.75,0.6666666666666667,0.7543296082580457
135,0.5,0.0,0.7888426505157585
136,0.375,0.4285714285714286,0.7828813612588127
137,0.8611111111111112,0.88,0.835509977844025
138,0.6875,0.0,0.7819553946303239
139,0.875,0.3333333333333333,0.6985354731356996
140,0.625,1.0,0.8190195582221975
141,0.8125,1.0,0.7962487726019523
142,0.625,0.5,0.7648368253805043
143,0.7777777777777778,0.782608695652174,0.8137749871615185
144,0.875,1.0,0.8227241335952167
145,0.7777777777777778,0.7777777777777778,0.7874615506676529
146,0.8125,0.4,0.7130572937887615
147,0.625,0.0,0.8268982305947231
148,0.625,0.3333333333333333,0.7960550519605026
149,0.625,1.0,0.9259416862330891
150,0.5625,0.0,0.8598227289184035
151,0.875,0.5,0.8253159635964455
152,0.625,0.0,0.8090909090909091
153,0.875,1.0,0.8875
154,0.6875,0.5714285714285714,0.8816620300447741
155,0.875,0.6,0.8401388774085707
156,0.6875,0.0,0.8629109946080097
157,0.6875,0.3333333333333333,0.6878139313729228
158,0.625,1.0,0.7674493861911725
159,0.6875,0.5,0.8582786383559511
160,0.6875,0.5,0.8655962321421531
161,0.6875,0.3333333333333333,0.8002380598177972
162,0.25,0.6,0.8209591223666468
163,0.5,0.4285714285714286,0.85202864568461
164,0.5,0.4,0.8433661407528886
165,0.6875,0.0,0.8475706863595912
166,0.875,0.6666666666666667,0.8504074147632635
167,0.72,0.6666666666666667,0.978602761181736
168,0.6875,0.5,0.8635855783597217
169,0.75,0.0,0.851193151149763
170,0.8765432098765432,0.8970588235294118,0.7365692408561074
171,0.84,0.8571428571428572,0.855362829225267
172,0.8125,0.7142857142857143,0.801275141020233
173,0.75,0.7924528301886793,0.761632946873172
174,0.75,0.5,0.9000299890040402
175,0.875,1.0,0.8180001578404112
176,0.6875,1.0,0.8490087524143928
177,0.7755102040816326,0.8285714285714285,0.8268134335652642
178,0.6875,0.5,0.8353890708881835
179,0.7551020408163265,0.8333333333333334,0.8040761540665545
180,0.8775510204081632,0.8947368421052632,0.7854091098781056
181,0.6944444444444444,0.7407407407407407,0.716723634678411
182,0.56,0.5714285714285714,0.8367430244040812
183,0.5,0.0,0.9102564102564102
184,0.8611111111111112,0.9565217391304348,0.7575158114119378
185,0.72,0.8888888888888888,0.7684783583579609
186,0.625,0.5,0.8449288964361521
187,0.8,0.9090909090909092,0.8228705775884899
188,0.6388888888888888,0.7391304347826086,0.762102355330306
