Trajectory,Repetition,Y_Position,X_Position
1,1,2134,781
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,780
1,1,2134,778
1,1,2134,777
1,1,2134,775
1,1,2134,775
1,1,2134,775
1,1,2134,775
1,1,2134,775
1,1,2134,775
1,1,2134,775
1,1,2134,773
1,1,2134,772
1,1,2134,770
1,1,2134,768
1,1,2134,764
1,1,2134,760
1,1,2135,756
1,1,2135,752
1,1,2136,748
1,1,2136,744
1,1,2136,740
1,1,2136,736
1,1,2137,733
1,1,2137,729
1,1,2137,723
1,1,2137,717
1,1,2138,709
1,1,2139,702
1,1,2140,695
1,1,2141,689
1,1,2142,683
1,1,2142,677
1,1,2142,669
1,1,2142,661
1,1,2142,647
1,1,2142,631
1,1,2142,615
1,1,2141,601
1,1,2141,586
1,1,2142,567
1,1,2140,552
1,1,2139,537
1,1,2137,520
1,1,2132,495
1,1,2129,471
1,1,2128,446
1,1,2128,420
1,1,2128,395
1,1,2128,365
1,1,2128,345
1,1,2129,327
1,1,2130,313
1,1,2130,305
1,1,2130,298
1,1,2130,293
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2130,292
1,1,2131,292
1,1,2131,293
1,1,2132,293
1,1,2132,294
1,1,2133,295
1,1,2136,296
1,1,2140,299
1,1,2145,302
1,1,2150,306
1,1,2157,311
1,1,2168,318
1,1,2178,326
1,1,2190,334
1,1,2206,347
