737448.468055127,737448.470722662,737448.47082934,737448.471118704
737448.471225035,737448.472483831,737448.472589954,737448.472879317
737448.472985347,737448.473861678,737448.473967766,737448.47425713
737448.474363194,737448.475489792,737448.475595845,737448.475885197
737448.475991238,737448.47727728,737448.477383391,737448.477672743
737448.47777875,737448.47851191,737448.478617928,737448.478907292
737448.479013333,737448.479652454,737448.47975853,737448.480047882
737448.480153958,737448.480756019,737448.480862106,737448.481151458
737448.481257512,737448.482220347,737448.482326377,737448.482615729
737448.482721794,737448.48405912,737448.48416515,737448.484454502
737448.484560579,737448.48524419,737448.485350208,737448.48563956
737448.485745567,737448.486706921,737448.486812998,737448.48710235
737448.487208403,737448.488710544,737448.48881662,737448.489105972
737448.489212014,737448.489993831,737448.490099873,737448.490389224
737448.490495255,737448.491580104,737448.491686169,737448.491975521
737448.492081528,737448.492519549,737448.492625602,737448.492914954
737448.493020995,737448.493377234,737448.49348331,737448.493772662
737448.493878669,737448.494566574,737448.49467265,737448.494962002
